ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/06/357/001	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	vial (glass)	0.5 ml	1 vial	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/002	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	vial (glass)	0.5 ml	10 vials	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/003	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/004	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringes	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/005	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe + 1 needle	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/006	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringes + 10 needles	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/007	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	1 pre-filled syringe + 2 needles	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/008	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	10 pre-filled syringes + 20 needles	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/018	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	vial (glass)	0.5 ml	20 vials	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
EU/1/06/357/019	EMEA/H/C/000703	--1	Suspension for injection	Intramuscular use	pre-filled syringe (glass)	0.5 ml	20 pre-filled syringes	gardasil	Gardasil	EU/1/06/357	human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein	human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)	J07BM01	Merck Sharp & Dohme B.V. 	https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil	Authorised
