ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/14/962/001	45774630	naloxegol 12.5 MG Oral Tablet	1551917	EXACT			2025-12-04
EU/1/14/962/002	45774630	naloxegol 12.5 MG Oral Tablet	1551917	EXACT			2025-12-04
EU/1/14/962/003	45774630	naloxegol 12.5 MG Oral Tablet	1551917	EXACT			2025-12-04
EU/1/14/962/004	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
EU/1/14/962/005	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
EU/1/14/962/006	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
EU/1/14/962/007	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
EU/1/14/962/008	45774630	naloxegol 12.5 MG Oral Tablet	1551917	EXACT			2025-12-04
EU/1/14/962/009	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
EU/1/14/962/010	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
EU/1/14/962/011	45774616	naloxegol 25 MG Oral Tablet	1551782	EXACT			2025-12-04
