ma_number	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/01/195/001	19058398	insulin lispro 100 UNT/ML Injectable Solution	242120	EXACT			
EU/1/01/195/002	46233974	3 ML insulin lispro 100 UNT/ML Cartridge	1652644	EXACT			
EU/1/01/195/003	1513915	3 ML insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Pen Injector	847252	EXACT			
EU/1/01/195/004	1513913	3 ML insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Pen Injector	847211	EXACT			
EU/1/01/195/008	19058398	insulin lispro 100 UNT/ML Injectable Solution	242120	EXACT			
EU/1/01/195/009	19058398	insulin lispro 100 UNT/ML Injectable Solution	242120	EXACT			
EU/1/01/195/010	46233974	3 ML insulin lispro 100 UNT/ML Cartridge	1652644	EXACT			
EU/1/01/195/011	1513915	3 ML insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Pen Injector	847252	EXACT			
EU/1/01/195/012	1513913	3 ML insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Pen Injector	847211	EXACT			
EU/1/01/195/016	46233969	3 ML insulin lispro 100 UNT/ML Pen Injector	1652639	EXACT			
EU/1/01/195/017	46233969	3 ML insulin lispro 100 UNT/ML Pen Injector	1652639	EXACT			
EU/1/01/195/018	1513915	3 ML insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Pen Injector	847252	EXACT			
EU/1/01/195/019	1513915	3 ML insulin lispro 25 UNT/ML / insulin lispro protamine, human 75 UNT/ML Pen Injector	847252	EXACT			
EU/1/01/195/020	1513913	3 ML insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Pen Injector	847211	EXACT			
EU/1/01/195/021	1513913	3 ML insulin lispro 50 UNT/ML / insulin lispro protamine, human 50 UNT/ML Pen Injector	847211	EXACT			
EU/1/01/195/028	46233945	3 ML insulin lispro 200 UNT/ML Pen Injector	1652239	EXACT			
EU/1/01/195/029	46233945	3 ML insulin lispro 200 UNT/ML Pen Injector	1652239	EXACT			
EU/1/01/195/030	46233974	3 ML insulin lispro 100 UNT/ML Cartridge	1652644	EXACT			
EU/1/01/195/031	46233974	3 ML insulin lispro 100 UNT/ML Cartridge	1652644	EXACT			
