ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name
EU/1/09/514/001	EMEA/H/C/000988	400 mg	Tablet	Oral use	blister (alu/alu)		7 tablets	Zebinix
EU/1/09/514/002	EMEA/H/C/000988	400 mg	Tablet	Oral use	blister (alu/alu)		14 tablets	Zebinix
EU/1/09/514/003	EMEA/H/C/000988	400 mg	Tablet	Oral use	blister (alu/alu)		28 tablets	Zebinix
EU/1/09/514/004	EMEA/H/C/000988	400 mg	Tablet	Oral use	blister (PVC/alu)		7 tablets	Zebinix
EU/1/09/514/005	EMEA/H/C/000988	400 mg	Tablet	Oral use	blister (PVC/alu)		14 tablets	Zebinix
EU/1/09/514/006	EMEA/H/C/000988	400 mg	Tablet	Oral use	blister (PVC/alu)		28 tablets	Zebinix
EU/1/09/514/007	EMEA/H/C/000988	600 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Zebinix
EU/1/09/514/008	EMEA/H/C/000988	600 mg	Tablet	Oral use	blister (alu/alu)		60 tablets	Zebinix
EU/1/09/514/009	EMEA/H/C/000988	600 mg	Tablet	Oral use	blister (PVC/alu)		30 tablets	Zebinix
EU/1/09/514/010	EMEA/H/C/000988	600 mg	Tablet	Oral use	blister (PVC/alu)		60 tablets	Zebinix
EU/1/09/514/011	EMEA/H/C/000988	600 mg	Tablet	Oral use	bottle (HDPE)		90 tablets	Zebinix
EU/1/09/514/012	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (alu/alu)		20 tablets	Zebinix
EU/1/09/514/013	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (alu/alu)		30 tablets	Zebinix
EU/1/09/514/014	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (alu/alu)		60 tablets	Zebinix
EU/1/09/514/015	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (alu/alu)		90 tablets	Zebinix
EU/1/09/514/016	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (PVC/alu)		20 tablets	Zebinix
EU/1/09/514/017	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (PVC/alu)		30 tablets	Zebinix
EU/1/09/514/018	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (PVC/alu)		60 tablets	Zebinix
EU/1/09/514/019	EMEA/H/C/000988	800 mg	Tablet	Oral use	blister (PVC/alu)		90 tablets	Zebinix
EU/1/09/514/020	EMEA/H/C/000988	800 mg	Tablet	Oral use	bottle (HDPE)		90 tablets	Zebinix
EU/1/09/514/021	EMEA/H/C/000988	200 mg	Tablet	Oral use	blister (PVC/alu)		20 tablets	Zebinix
EU/1/09/514/022	EMEA/H/C/000988	200 mg	Tablet	Oral use	blister (PVC/alu)		60 tablets	Zebinix
EU/1/09/514/023	EMEA/H/C/000988	200 mg	Tablet	Oral use	bottle (HDPE)		60 tablets	Zebinix
EU/1/09/514/024	EMEA/H/C/000988	50 mg/ml	Oral suspension	Oral use	bottle (glass)	200 ml	1 bottle + 1 oral syringe + 1 bottle adapter	Zebinix
EU/1/09/514/025	EMEA/H/C/000988	800 mg	Tablet	Oral use	Blister (PVC/alu)		180 (2 x 90) tablets (multipack)	Zebinix
EU/1/09/514/026	EMEA/H/C/000988	800 mg	Tablet	Oral use	Blister (alu/alu)		180 (2 x 90) tablets (multipack)	Zebinix
