ma_number	ema_product_number	strength	pharmaceutical_form	route_of_administration	packaging	content	pack_size	product_name	display_name	eu_group_number	active_substance	international_non_proprietary_name	atc_code_human	marketing_authorisation_developer_applicant_holder	medicine_url	medicine_status
EU/1/18/1340/001	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	vial (glass)	2 ml (150 mg/ml)	1 vial + 1 syringe + 2 needles	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/002	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	vial (glass)	2 ml (150 mg/ml)	2 (2 x 1) vials + 2 (2 x 1) syringes + 4 (2 x 2) needles (multipack)	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/003	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	vial (glass)	2 ml (150 mg/ml)	6 (6 x 1) vials + 6 (6 x 1) syringes + 12 (6 x 2) needles (multipack)	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/004	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	2 ml (150 mg/ml)	1 pre-filled syringe	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/005	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	2 ml (150 mg/ml)	2 pre-filled syringes	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/006	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	2 ml (150 mg/ml)	6 (3 x 2) pre-filled syringes (multipack)	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/007	EMEA/H/C/004806	150 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (150 mg/ml)	1 pre-filled syringe	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/008	EMEA/H/C/004806	150 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (150 mg/ml)	2 pre-filled syringes	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/009	EMEA/H/C/004806	150 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass)	1 ml (150 mg/ml)	6 (3 x 2) pre-filled syringes (multipack)	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/010	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre- filled pen	2 ml (150 mg/ml)	1 pre-filled pen	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/011	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre- filled pen	2 ml (150 mg/ml)	2 pre-filled pens	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
EU/1/18/1340/012	EMEA/H/C/004806	300 mg	Solution for injection	Subcutaneous use	pre-filled syringe (glass) in pre- filled pen	2 ml (150 mg/ml)	6 (3 x 2) pre-filled pens (multipack)	takhzyro	TAKHZYRO	EU/1/18/1340	lanadelumab	lanadelumab	B06AC05	Takeda Pharmaceuticals International AG Ireland Branch	https://www.ema.europa.eu/en/medicines/human/EPAR/takhzyro	Authorised
