codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
024840074	024840	CARDIOASPIRIN	100 MG COMPRESSE GASTRORESISTENTI-30 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa gastroresistente	B01AC06	BAYER S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
024840086	024840	CARDIOASPIRIN	100 MG COMPRESSE GASTRORESISTENTI-60 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa gastroresistente	B01AC06	BAYER S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
024840098	024840	CARDIOASPIRIN	100 MG COMPRESSE GASTRORESISTENTI-90 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa gastroresistente	B01AC06	BAYER S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026721035	026721	ASPIRINETTA	100 MG COMPRESSE- 24 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa	N02BA01	BAYER S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026721100	026721	ASPIRINETTA	100 MG COMPRESSE- 30 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa	N02BA01	BAYER S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030175020	030175	ACIDO ACETILSALICILICO L.F.M.	500 MG COMPRESSE-20 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	500	milligrammi	Compressa	N02BA01	LABORATORIO FARMACOLOGICO MILANESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
033475029	033475	VIVIN	500 MG COMPRESSE- 20 COMPRESSE	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	5000	milligrammi	Compressa	N02BA01	A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
041962010	041962	ASPIRINA DOLORE E INFIAMMAZIONE	500 MG COMPRESSE RIVESTITE- 8 COMPRESSE IN BLISTER AL/PE/CARTA	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	500	milligrammi	Compressa rivestita	N02BA01	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica, da banco.
041962022	041962	ASPIRINA DOLORE E INFIAMMAZIONE	500 MG COMPRESSE RIVESTITE- 12 COMPRESSE IN BLISTER AL/PE/CARTA	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	500	milligrammi	Compressa rivestita	N02BA01	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica, da banco.
041962034	041962	ASPIRINA DOLORE E INFIAMMAZIONE	500 MG COMPRESSE RIVESTITE- 20 COMPRESSE IN BLISTER AL/PE/CARTA	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	500	milligrammi	Compressa rivestita	N02BA01	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica, da banco.
041962046	041962	ASPIRINA DOLORE E INFIAMMAZIONE	500 MG COMPRESSE RIVESTITE- 24 COMPRESSE IN BLISTER AL/PE/CARTA	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	500	milligrammi	Compressa rivestita	N02BA01	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica, da banco.
042179010	042179	ACIDO ACETILSALICILICO DOC GENERICI	100 MG COMPRESSE GASTRORESISTENTI- 30 COMPRESSE IN BLISTER PVC/AL	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO			Compressa gastroresistente	B01AC06	DOC GENERICI SRL	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042180012	042180	ACIDO ACETILSALICILICO EG	100 MG COMPRESSE GASTRORESISTENTI- 10 COMPRESSE IN BLISTER PVC/AL	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa gastroresistente	B01AC06	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042180024	042180	ACIDO ACETILSALICILICO EG	100 MG COMPRESSE GASTRORESISTENTI- 20 COMPRESSE IN BLISTER PVC/AL	ACIDO ACETILSALICILICO	ACIDO ACETILSALICILICO	100	milligrammi	Compressa gastroresistente	B01AC06	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
