codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
037711013	037711	MOVIPREP	POLVERE PER SOLUZIONE ORALE- 2 SACCHE CONTENENTI 1 BUSTINA A CARTA/LDPE/AL/LDPE DA 112 G + 1 BUSTINA B CARTA/LDPE/AL/LDPE DA 11 G (1 TRATTAMENTO)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	4.7|100|1.015|5.9|2.691|7.5	grammi|grammi|grammi|grammi|grammi|grammi	Polvere per soluzione orale	A06AD65	NORGINE BV	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
045671017	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina PET/PE/AL da 114,22 g + 1 bustina A PET/PE/AL da 46,26 g +  1 bustina B PET/PE/AL da 55,65 g (1 trattamento)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
045671029	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina PET/PE/AL da 114,22 g + 1 bustina A PET/PE/AL da 46,26 g +  1 bustina B PET/PE/AL da 55,65 g (40 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045671043	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina PET/PE/AL da 114,22 g + 1 bustina A PET/PE/AL da 46,26 g +  1 bustina B PET/PE/AL da 55,65 g (160 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045671056	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina PET/PE/AL da 114,22 g + 1 bustina A PET/PE/AL da 46,26 g +  1 bustina B PET/PE/AL da 55,65 g (320 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045671068	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina carta/AL da 114,22 g + 1 bustina A CARTA/AL da 46,26  g  +  1 bustina B CARTA/AL da 55,65 g (1 trattamento)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
045671070	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina CARTA/AL da 114,22 g + 1 bustina A CARTA/AL da 46,26  g  +  1 bustina B CARTA/AL da 55,65 g (40 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045671082	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina CARTA/AL da 114,22 g + 1 bustina A CARTA/AL da 46,26  g  +  1 bustina B CARTA/AL da 55,65 g (80 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045671094	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina CARTA/AL da 114,22 g + 1 bustina A CARTA/AL da 46,26  g  +  1 bustina B CARTA/AL da 55,65 g (160 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045671106	045671	PLENVU	polvere  per  soluzione  orale>  -  1 bustina CARTA/AL da 114,22 g + 1 bustina A CARTA/AL da 46,26  g  +  1 bustina B CARTA/AL da 55,65 g (320 trattamenti)	ACIDO ASCORBICO/SODIO ASCORBATO/MACROGOL 3350/POTASSIO CLORURO/SODIO CLORURO/SODIO SOLFATO ANIDRO	ACIDO ASCORBICO|MACROGOL 3350|POTASSIO CLORURO|SODIO ASCORBATO|SODIO CLORURO|SODIO SOLFATO ANIDRO	7.54|140|2.2|48.11|5.2|9	grammi|grammi|grammi|grammi|grammi|grammi	Polvere e solvente per soluzione orale	A06AD65	NORGINE ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
