codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
048721017	048721	NILEMDO	180 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALLUMINIO) - 10 COMPRESSE	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
048721029	048721	NILEMDO	180 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALLUMINIO) - 28 COMPRESSE	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
048721031	048721	NILEMDO	180 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALLUMINIO) - 30 COMPRESSE	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
048721043	048721	NILEMDO	180 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALLUMINIO) - 90 COMPRESSE	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
048721056	048721	NILEMDO	180 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALLUMINIO) - 98 COMPRESSE	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
048721068	048721	NILEMDO	180 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALLUMINIO) - 100 COMPRESSE	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
048721070	048721	NILEMDO	180 mg - Compressa rivestita con film - Uso orale - Blister (PVC/alluminio) - 14 compresse	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048721082	048721	NILEMDO	180 mg - Compressa rivestita con film - Uso orale - Blister (PVC/alluminio) - 84 compresse	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048721094	048721	NILEMDO	180 mg - Compressa rivestita con film - Uso orale - Blister (PVC/alluminio) - 10 x 1 compresse (dose unitaria)	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048721106	048721	NILEMDO	180 mg - Compressa rivestita con film - Uso orale - Blister (PVC/alluminio) - 50 x 1 compresse (dose unitaria)	ACIDO BEMPEDOICO	ACIDO BEMPEDOICO			Compressa rivestita con film	C10AX15	DAIICHI SANKYO EUROPE GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
