codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
002309033	002309	FOLINA	15 MG/2 ML SOLUZIONE INIETTABILE- 5 FIALE DA 2 ML	ACIDO FOLICO	ACIDO FOLICO			Soluzione iniettabile	B03BB01	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
002309045	002309	FOLINA	5 MG CAPSULE MOLLI- 20 CAPSULE	ACIDO FOLICO	ACIDO FOLICO	5	milligrammi	Capsula molle	B03BB01	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
002309058	002309	FOLINA	5 MG CAPSULE MOLLI- 60 CAPSULE	ACIDO FOLICO	ACIDO FOLICO	50	milligrammi	Capsula molle	B03BB01	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
002309060	002309	FOLINA	5 MG CAPSULE MOLLI- 28 CAPSULE IN BLISTER PVC	ACIDO FOLICO	ACIDO FOLICO	5	milligrammi	Capsula molle	B03BB01	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
002309072	002309	FOLINA	5 MG CAPSULE MOLLI- 120 CAPSULE IN BLISTER PVC/AL	ACIDO FOLICO	ACIDO FOLICO	5	milligrammi	Capsula molle	B03BB01	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036345015	036345	FOLIDEX	400 MCG COMPRESSE- 28 COMPRESSE IN BLISTER AL/PVC	ACIDO FOLICO	ACIDO FOLICO			Compressa	B03BB01	ITALFARMACO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036345027	036345	FOLIDEX	400 MCG COMPRESSE- 120 COMPRESSE IN BLISTER AL/PVC	ACIDO FOLICO	ACIDO FOLICO			Compressa	B03BB01	ITALFARMACO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036345039	036345	FOLIDEX	400 MCG COMPRESSE- 90 COMPRESSE IN BLISTER AL/PVC	ACIDO FOLICO	ACIDO FOLICO	400	microgrammi	Compressa	B03BB01	ITALFARMACO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036346017	036346	FERTIFOL	400 MCG COMPRESSE - 28 COMPRESSE	ACIDO FOLICO	ACIDO FOLICO			Compressa	B03BB01	EFFIK ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036346029	036346	FERTIFOL	400 MICROGRAMMI COMPRESSE- 120 COMPRESSE IN BLISTER AL/PVC	ACIDO FOLICO	ACIDO FOLICO			Compressa	B03BB01	EFFIK ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
