codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
021409356	021409	MARCAINA	5 MG/ML SOLUZIONE INIETTABILE - 5 FIALE 5 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB01	ASPEN PHARMA TRADING LIMITED	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
021409418	021409	MARCAINA	5 MG/ML IPERBARICA SOLUZIONE INIETTABILE- 5 FIALE IN VETRO DA 4 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB01	ASPEN PHARMA TRADING LIMITED	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
031530052	031530	ARTICAINA OGNA	40 MG/ML + 10 MICROGRAMMI/ML, SOLUZIONE INIETTABILE CON ADRENALINA- 50 CARTUCCE DA 1,8 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	GIOVANNI OGNA E FIGLI S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
031530064	031530	ARTICAINA OGNA	40 MG/ML + 5 MICROGRAMMI/ML, SOLUZIONE INIETTABILE CON  ADRENALINA- 50 CARTUCCE DA 1,8 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	GIOVANNI OGNA E FIGLI S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
031815018	031815	ARTICAINA CON ADRENALINA PIERREL	40 MG/ML + 10 MICROGRAMMI/ML SOLUZIONE INIETTABILE- 100 CARTUCCE DA 1,8 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	PIERREL S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
031815020	031815	ARTICAINA CON ADRENALINA PIERREL	40 MG/ML + 5 MICROGRAMMI/ML SOLUZIONE INIETTABILE- 100 CARTUCCE DA 1,8 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	PIERREL S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
031815071	031815	ARTICAINA CON ADRENALINA PIERREL	40 MG/ML + 10 MICROGRAMMI/ML SOLUZIONE INIETTABILE- 50 CARTUCCE DA 1,8 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	PIERREL S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
031815083	031815	ARTICAINA CON ADRENALINA PIERREL	40 MG/ML + 5 MICROGRAMMI/ML SOLUZIONE INIETTABILE- 50 CARTUCCE DA 1,8 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	PIERREL S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
032948034	032948	BUPICAIN  CON ADRENALINA	2,5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE 5 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
032948059	032948	BUPICAIN  CON ADRENALINA	2,5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE 10 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
032948073	032948	BUPICAIN  CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE 5 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
032948097	032948	BUPICAIN  CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE 10 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034621019	034621	SARTICAIN	40 MG/ML + 10 MICROGRAMMI/ML SOLUZIONE INIETTABILE CON ADRENALINA- 10 FIALE DA 20 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034621021	034621	SARTICAIN	40 MG/ML + 10 MICROGRAMMI/ML SOLUZIONE INIETTABILE CON ADRENALINA- 50 CARTUCCE DA 1,7 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
034621033	034621	SARTICAIN	40 MG/ML + 10 MICROGRAMMI/ML SOLUZIONE INIETTABILE CON ADRENALINA- 60 CARTUCCE DA 1,7 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
034621045	034621	SARTICAIN	40 MG/ML + 5 MICROGRAMMI/ML SOLUZIONE INIETTABILE CON ADRENALINA- 10 FIALE DA 20 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034621058	034621	SARTICAIN	40 MG/ML + 5 MICROGRAMMI/ML SOLUZIONE INIETTABILE CON ADRENALINA- 50 CARTUCCE DA 1,7 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
034621060	034621	SARTICAIN	40 MG/ML + 5 MICROGRAMMI/ML SOLUZIONE INIETTABILE CON ADRENALINA- 60 CARTUCCE DA 1,7 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB58	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
034849012	034849	BUPISEN CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE DA 1 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034849024	034849	BUPISEN CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE DA 2 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034849036	034849	BUPISEN CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE DA 5 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034849048	034849	BUPISEN CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 10 FIALE DA 10 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
034849051	034849	BUPISEN CON ADRENALINA	5 MG/ML + 5 MCG/ML SOLUZIONE INIETTABILE- 5 FIALE DA 20 ML	ADRENALINUM	ADRENALINUM			Soluzione iniettabile	N01BB51	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
