codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
021111024	021111	UMAN ALBUMIN	200 G/L SOLUZIONE PER INFUSIONE- 1 FLACONE DA 50 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
021111051	021111	UMAN ALBUMIN	5 G/100 ML SOLUZIONE PER INFUSIONE - 1 FLACONE 250 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	KEDRION S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
021111087	021111	UMAN ALBUMIN	250 G/L SOLUZIONE PER INFUSIONE- 1 FLACONE DA 50 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
021111101	021111	UMAN ALBUMIN	200 G/L SOLUZIONE PER INFUSIONE- 1 FLACONE DA 100 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
021112040	021112	UMAN SERUM	5% SOLUZIONE PER INFUSIONE- FLACONE DA 250 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA02	KEDRION S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022515136	022515	ALBITAL	250 G/L SOLUZIONE PER INFUSIONE- 1 FLACONE 50 ML + SET PER INFUSIONE	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	KEDRION S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022515163	022515	ALBITAL	200 G/L SOLUZIONE PER INFUSIONE- 1 FLACONE 50 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	KEDRION S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
028989046	028989	PLASBUMIN	200 G/L SOLUZIONE PER INFUSIONE- FLACONE 50 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	INSTITUTO GRIFOLS S.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
028989059	028989	PLASBUMIN	200 G/L SOLUZIONE PER INFUSIONE- FLACONE 100 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	INSTITUTO GRIFOLS S.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029251016	029251	ALBUTEIN	50 G/L SOLUZIONE PER INFUSIONE- 1 FLACONE 250 ML	ALBUMINA UMANA	ALBUMINA UMANA			Soluzione per infusione	B05AA01	GRIFOLS ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
