codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
016805032	016805	SERENASE	1 MG COMPRESSE- 20 COMPRESSE	ALOPERIDOLO	ALOPERIDOLO	1	milligrammi	Compressa	N05AD01	ISTITUTO LUSO FARMACO D'ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
016805044	016805	SERENASE	5 MG COMPRESSE- 20 COMPRESSE	ALOPERIDOLO	ALOPERIDOLO	5	milligrammi	Compressa	N05AD01	ISTITUTO LUSO FARMACO D'ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
016805095	016805	SERENASE	2 MG/ML GOCCE ORALI, SOLUZIONE-1 FLACONE 15 ML	ALOPERIDOLO	ALOPERIDOLO	2	milligram(s)/millilitre	Gocce orali, soluzione	N05AD01	ISTITUTO LUSO FARMACO D'ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
016805107	016805	SERENASE	10 MG/ML GOCCE ORALI, SOLUZIONE- 1 FLACONE 15 ML	ALOPERIDOLO	ALOPERIDOLO	10	milligram(s)/millilitre	Gocce orali, soluzione	N05AD01	ISTITUTO LUSO FARMACO D'ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
025373010	025373	HALDOL	1 MG COMPRESSE- 30 COMPRESSE	ALOPERIDOLO	ALOPERIDOLO	1	milligrammi	Compressa	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
025373034	025373	HALDOL	5 MG COMPRESSE- 30 COMPRESSE	ALOPERIDOLO	ALOPERIDOLO	5	milligrammi	Compressa	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
025373059	025373	HALDOL	2 MG/ML SOLUZIONE ORALE- FLACONE DA 30 ML	ALOPERIDOLO	ALOPERIDOLO			Soluzione orale	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
025373073	025373	HALDOL	5 MG/ML SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE- 5 FIALE	ALOPERIDOLO	ALOPERIDOLO			Soluzione iniettabile	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
025373085	025373	HALDOL	5 MG/ML SOLUZIONE INIETTABILE- 1 FIALA IN VETRO DA 1 ML	ALOPERIDOLO	ALOPERIDOLO			Soluzione iniettabile	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
025373097	025373	HALDOL	5 MG/ML SOLUZIONE INIETTABILE- 30 FIALE (3X10 CONFEZIONE MULTIPLA) IN VETRO DA 1 ML	ALOPERIDOLO	ALOPERIDOLO			Soluzione iniettabile	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
025373109	025373	HALDOL	5 MG/ML SOLUZIONE INIETTABILE- 50 FIALE (10X5 CONFEZIONE MULTIPLA) IN VETRO DA 1 ML	ALOPERIDOLO	ALOPERIDOLO			Soluzione iniettabile	N05AD01	ESSENTIAL PHARMA LTD	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029826017	029826	ALOPERIDOLO GALENICA SENESE	2 MG/ML SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE- 1 FIALE DA 1 ML	ALOPERIDOLO	ALOPERIDOLO			Soluzione iniettabile	N05AD01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029826031	029826	ALOPERIDOLO GALENICA SENESE	2 MG/ML SOLUZIONE INIETTABILE  PER USO INTRAMUSCOLARE- 10 FIALE DA 1 ML	ALOPERIDOLO	ALOPERIDOLO			Soluzione iniettabile	N05AD01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
030651018	030651	ALOPERIDOLO S.A.L.F.	2 MG/ML SOLUZIONE INIETTABILE  PER USO INTRAMUSCOLARE- 5 FIALE DA 1 ML	ALOPERIDOLO	ALOPERIDOLO	2	milligram(s)/millilitre	Soluzione iniettabile	N05AD01	S.A.L.F. SPA  LABORATORIO FARMACOLOGICO	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
