codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
041225018	041225	ELIQUIS	2,5 MG-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER (PVC/PVDC/ALU)- 10 COMPRESSE	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225020	041225	ELIQUIS	2,5 MG-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER (PVC/PVDC/ALU)- 20 COMPRESSE	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225032	041225	ELIQUIS	2,5 MG-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER (PVC/PVDC/ALU)- 60 COMPRESSE	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225044	041225	ELIQUIS	2,5 MG-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER (PVC/PVDC/ALU)- 60 X 1 COMPRESSA(DOSE UNITARIA)	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225057	041225	ELIQUIS	2,5 MG-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER (PVC/PVDC/ALU)- 100 X 1 COMPRESSA(DOSE UNITARIA)	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225069	041225	ELIQUIS	5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 14 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225071	041225	ELIQUIS	5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 20 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225083	041225	ELIQUIS	5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 56 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225095	041225	ELIQUIS	5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 60 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225107	041225	ELIQUIS	5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 100X1 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225119	041225	ELIQUIS	5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 168 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225121	041225	ELIQUIS	5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 200 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225133	041225	ELIQUIS	2,5 MG - COMPRESSA  RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 168 COMPRESSE	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225145	041225	ELIQUIS	5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 28 COMPRESSE	APIXABAN	APIXABAN	5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225158	041225	ELIQUIS	2,5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU) - 200 COMPRESSE	APIXABAN	APIXABAN	2.5	milligrammi	Compressa rivestita con film	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
041225160	041225	ELIQUIS	0,15 mg - Granulato in capsule da aprire - Uso orale - flacone (HDPE) - 28 capsule da aprire	APIXABAN	APIXABAN	0.2	milligrammi	GRANULI IN CAPSULA PER APERTURA	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225172	041225	ELIQUIS	0,5 mg - Granulato rivestito - Uso orale - bustina (alu) - 28 bustine	APIXABAN	APIXABAN	0.5	milligrammi	Granulato rivestito	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225184	041225	ELIQUIS	1,5 mg - Granulato rivestito - Uso orale - bustina (alu) - 28 bustine	APIXABAN	APIXABAN	1.5	milligrammi	Granulato rivestito	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041225196	041225	ELIQUIS	2 mg - Granulato rivestito - Uso orale - bustina (alu) - 28 bustine	APIXABAN	APIXABAN	2	milligrammi	Granulato rivestito	B01AF02	BRISTOL-MYERS SQUIBB / PFIZER EEIG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047930019	047930	APIXABAN AUROBINDO	2,5 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/AL	APIXABAN	APIXABAN			Compressa rivestita con film	B01AF02	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047930021	047930	APIXABAN AUROBINDO	2,5 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER PVC/AL	APIXABAN	APIXABAN			Compressa rivestita con film	B01AF02	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047930033	047930	APIXABAN AUROBINDO	2,5 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/AL	APIXABAN	APIXABAN			Compressa rivestita con film	B01AF02	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047930045	047930	APIXABAN AUROBINDO	2,5 MG COMPRESSE RIVESTITE CON FILM- 60 COMPRESSE IN BLISTER PVC/AL	APIXABAN	APIXABAN			Compressa rivestita con film	B01AF02	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
