codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
035026018	035026	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
035026020	035026	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
042916015	042916	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
042916027	042916	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
043131010	043131	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
043131022	043131	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
043131034	043131	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
044379016	044379	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
044379028	044379	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
044379030	044379	19101722	atosiban 7.5 MG/ML Injectable Solution	389058	EXACT	auto-linked from EMA 000253		2026-06-12
