codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
004930020	004930	ATROPINA FARMIGEA	1% COLLIRIO, SOLUZIONE- 5 CONTENITORI MONODOSE DA 0,5 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	percent	Collirio, soluzione	S01FA01	FARMIGEA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029829013	029829	ATROPINA SOLFATO GALENICA SENESE	0,5MG/ML SOLUZIONE INIETTABILE- FIALA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligrammi	Soluzione iniettabile	A03BA01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
029829025	029829	ATROPINA SOLFATO GALENICA SENESE	1 MG/ML SOLUZIONE INIETTABILE- 1 FIALA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligrammi	Soluzione iniettabile	A03BA01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
029829037	029829	ATROPINA SOLFATO GALENICA SENESE	0,5MG/ML SOLUZIONE INIETTABILE-5 FIALE 1ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligrammi	Soluzione iniettabile	A03BA01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
029829049	029829	ATROPINA SOLFATO GALENICA SENESE	1 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligrammi	Soluzione iniettabile	A03BA01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
029829052	029829	ATROPINA SOLFATO GALENICA SENESE	0,5 MG/ ML SOLUZIONE INIETTABILE - 10 FIALE DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029829064	029829	ATROPINA SOLFATO GALENICA SENESE	1 MG/ ML SOLUZIONE INIETTABILE - 10 FIALE DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
030653012	030653	ATROPINA SOLFATO S.A.L.F.	0,5 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO			Soluzione iniettabile	A03BA01	S.A.L.F. SPA  LABORATORIO FARMACOLOGICO	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
030653036	030653	ATROPINA SOLFATO S.A.L.F.	1 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO			Soluzione iniettabile	A03BA01	S.A.L.F. SPA  LABORATORIO FARMACOLOGICO	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
030783017	030783	ATROPINA SOLFATO MONICO	1 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligrammi	Soluzione iniettabile	A03BA01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
030783029	030783	ATROPINA SOLFATO MONICO	1 MG/ML SOLUZIONE INIETTABILE- 10 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligrammi	Soluzione iniettabile	A03BA01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
030783031	030783	ATROPINA SOLFATO MONICO	0,5 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligrammi	Soluzione iniettabile	A03BA01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
030783043	030783	ATROPINA SOLFATO MONICO	0,5 MG/ML SOLUZIONE INIETTABILE- 10 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligrammi	Soluzione iniettabile	A03BA01	MONICO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
031173014	031173	ATROPINA SOLFATO BIOINDUSTRIA L.I.M.	1 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligrammi	Soluzione iniettabile	A03BA01	BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
031173026	031173	ATROPINA SOLFATO BIOINDUSTRIA L.I.M.	1 MG/ML SOLUZIONE INIETTABILE- 10 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligrammi	Soluzione iniettabile	A03BA01	BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
031173040	031173	ATROPINA SOLFATO BIOINDUSTRIA L.I.M.	0,5 MG/ML SOLUZIONE INIETTABILE- 5 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligrammi	Soluzione iniettabile	A03BA01	BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
031173053	031173	ATROPINA SOLFATO BIOINDUSTRIA L.I.M.	0,5 MG/ML SOLUZIONE INIETTABILE- 10 FIALE 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.5	milligrammi	Soluzione iniettabile	A03BA01	BIOINDUSTRIA LABORATORIO ITALIANO MEDICINALI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
043917018	043917	ATROPINA SOLFATO AGUETTANT	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRE-RIEMPITA- 1 SIRINGA	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	LABORATOIRE AGUETTANT	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043917020	043917	ATROPINA SOLFATO AGUETTANT	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRE-RIEMPITA- 5 SIRINGHE	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	LABORATOIRE AGUETTANT	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043917032	043917	ATROPINA SOLFATO AGUETTANT	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRE-RIEMPITA- 10 SIRINGHE	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	LABORATOIRE AGUETTANT	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
043917044	043917	ATROPINA SOLFATO AGUETTANT	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRE-RIEMPITA - 12 SIRINGHE	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	LABORATOIRE AGUETTANT	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
043917057	043917	ATROPINA SOLFATO AGUETTANT	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRE-RIEMPITA- 20 SIRINGHE	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	LABORATOIRE AGUETTANT	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
047873017	047873	ATROPINA SOLFATO ACCORD	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA- 1 SIRINGA PRERIEMPITA IN VETRO DA 5 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile in siringa pre-riempita	A03BA01	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
047873031	047873	ATROPINA SOLFATO ACCORD	0,1 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA- 1 SIRINGA PRERIEMPITA IN VETRO DA 10 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	0.1	milligram(s)/millilitre	Soluzione iniettabile in siringa pre-riempita	A03BA01	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente dallo specialista
051409011	051409	ATROPINA SOLFATO NORIDEM	1 MG/ML SOLUZIONE INIETTABILE- 5 FIALE IN VETRO DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	NORIDEM ENTERPRISES LTD	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
051409023	051409	ATROPINA SOLFATO NORIDEM	1 MG/ML SOLUZIONE INIETTABILE- 10 FIALE IN VETRO DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	NORIDEM ENTERPRISES LTD	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
051409035	051409	ATROPINA SOLFATO NORIDEM	1 MG/ML SOLUZIONE INIETTABILE- 20 FIALE IN VETRO DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	NORIDEM ENTERPRISES LTD	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
051409047	051409	ATROPINA SOLFATO NORIDEM	1 MG/ML SOLUZIONE INIETTABILE- 50 FIALE IN VETRO DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	NORIDEM ENTERPRISES LTD	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
051409050	051409	ATROPINA SOLFATO NORIDEM	1 MG/ML SOLUZIONE INIETTABILE- 100 FIALE IN VETRO DA 1 ML	ATROPINA SOLFATO	ATROPINA SOLFATO	1	milligram(s)/millilitre	Soluzione iniettabile	A03BA01	NORIDEM ENTERPRISES LTD	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
