codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
032039012	032039	LACRINORM	0,01% + 0.2% GEL  OFTALMICO- TUBO 10 G	BENZALCONIO CLORURO	BENZALCONIO CLORURO			Gel oftalmico	S01XA20	FARMIGEA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032159016	032159	LACRIMART	COLLIRIO FLAC 10 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO			Collirio, soluzione	S01XA20	BAIF INTERNATIONAL PRODUCTS - NEW YORK SNC	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032193029	032193	IRIDINA LIGHT	0,1 MG/ML COLLIRIO, SOLUZIONE-1 FLACONE 10 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO		grammi	Collirio, soluzione	S01AX	MONTEFARMACO OTC S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781066	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- FLACONE 30 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781078	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- FLACONE 60 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781080	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- FLACONE 100 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781092	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- FLACONE 200 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781104	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- FLACONE 1000 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781116	032781	CITROSIL	0,175% SPRAY CUTANEO, SOLUZIONE- FLACONE 100 ML	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Spray cutaneo, soluzione	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781155	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- ASTUCCIO 8 GARZE IMPREGNATE	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781167	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- ASTUCCIO 30 GARZE IMPREGNATE	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
032781179	032781	CITROSIL	0,175% SOLUZIONE CUTANEA- ASTUCCIO 50 GARZE IMPREGNATE	BENZALCONIO CLORURO	BENZALCONIO CLORURO	0.2	grammi	Soluzione cutanea	D08AJ01	SOCIETA` ITALO BRITANNICA L. MANETTI - H. ROBERTS & C. PER AZIONI	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
