codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
022628010	022628	MICROSER	8 MG COMPRESSE- 30 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628022	022628	MICROSER	8 MG COMPRESSE-40 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628034	022628	MICROSER	8 MG COMPRESSE- 50 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628046	022628	MICROSER	12,5 MG/ML GOCCE ORALI, SOLUZIONE-FLACONE 30 ML	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	1.25	grammi	Gocce orali, soluzione	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628059	022628	MICROSER	16 MG COMPRESSE- 20 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	160	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628061	022628	MICROSER	16 MG COMPRESSE- 30 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	160	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628097	022628	MICROSER	24 MG COMPRESSE - 20 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	24	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
022628109	022628	MICROSER	24 MG COMPRESSE - 30 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	24	milligrammi	Compressa	N07CA01	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027232014	027232	VERTISERC	8 MG COMPRESSE- 50 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	VIATRIS ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027232026	027232	VERTISERC	16 MG COMPRESSE- 20 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	VIATRIS ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027232038	027232	VERTISERC	16 MG COMPRESSE- 50 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	VIATRIS ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027232040	027232	VERTISERC	24 MG COMPRESSE- 20 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	240	milligrammi	Compressa	N07CA01	VIATRIS ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035876010	035876	FORTAMID	16 MG COMPRESSE - 20 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	FARMACEUTICI FORMENTI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035876022	035876	FORTAMID	16 MG COMPRESSE - 30 COMPRESSE	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	FARMACEUTICI FORMENTI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036081014	036081	SINCROVER	50 COMPRESSE DA 8 MG	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	LABORATORIO FARMACEUTICO C.T. S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
036081026	036081	SINCROVER	100 COMPRESSE DA 8 MG	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	LABORATORIO FARMACEUTICO C.T. S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
036081038	036081	SINCROVER	120 COMPRESSE DA 8 MG	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	8	milligrammi	Compressa	N07CA01	LABORATORIO FARMACEUTICO C.T. S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
036081040	036081	SINCROVER	20 COMPRESSE DA 16 MG	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	LABORATORIO FARMACEUTICO C.T. S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
036081053	036081	SINCROVER	42 COMPRESSE DA 16 MG	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	LABORATORIO FARMACEUTICO C.T. S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
036081065	036081	SINCROVER	50 COMPRESSE DA 16 MG	BETAISTINA DICLORIDRATO	BETAISTINA DICLORIDRATO	16	milligrammi	Compressa	N07CA01	LABORATORIO FARMACEUTICO C.T. S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
