codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
027352057	027352	LEVOFOLENE	25 MG POLVERE PER SOLUZIONE INIETTABILE- 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO	25	milligrammi	Polvere per soluzione iniettabile	V03AF04	ALFASIGMA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
034815050	034815	FOLANEMIN	4 MG COMPRESSE - 30 COMPRESSE	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO	5.083	milligrammi	Compressa	V03AF04	FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036086015	036086	CALCIO LEVOFOLINATO TEVA GENERICS	25 MG POLVERE PER SOLUZIONE INIETTABILE - 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Polvere per soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036086027	036086	CALCIO LEVOFOLINATO TEVA GENERICS	100 MG POLVERE PER SOLUZIONE PER INFUSIONE - 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Polvere per soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086039	036086	CALCIO LEVOFOLINATO TEVA GENERICS	175 MG POLVERE PER SOLUZIONE PER INFUSIONE - 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Polvere per soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086041	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 2,5 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036086054	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 5 FLACONCINI IN VETRO DA 2,5 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036086066	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 5 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086078	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 5 FLACONCINI IN VETRO DA 5 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086080	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 10 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086092	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 5 FLACONCINI IN VETRO DA 10 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086104	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 17,5 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036086116	036086	CALCIO LEVOFOLINATO TEVA GENERICS	10 MG/ML SOLUZIONE INIETTABILE- 5 FLACONCINI IN VETRO DA 17,5 ML	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Soluzione iniettabile	V03AF04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036159010	036159	LEVOTONAL	25 MG POLVERE PER SOLUZIONE INIETTABILE  - 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Polvere per soluzione iniettabile	V03AF04	PHARMACARE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036159022	036159	LEVOTONAL	100 MG POLVERE PER SOLUZIONE PER INFUSIONE - 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Polvere per soluzione per infusione endovenosa	V03AF04	PHARMACARE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036159034	036159	LEVOTONAL	175 MG POLVERE PER SOLUZIONE PER INFUSIONE - 1 FLACONCINO	CALCIO LEVOFOLINATO	CALCIO LEVOFOLINATO			Polvere per soluzione per infusione endovenosa	V03AF04	PHARMACARE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
