codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
035219017	035219	XELODA	150 MG 60 COMPRESSE FILMRIVESTITE IN BLISTER USO ORALE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	CHEPLAPHARM ARZNEIMITTEL GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
035219029	035219	XELODA	500 MG 120 COMPRESSE FILMRIVESTITE IN BLISTER USO ORALE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	CHEPLAPHARM ARZNEIMITTEL GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041927017	041927	CAPECITABINA MYLAN	150 MG COMPRESSE RIVESTITE CON FILM- 60 COMPRESSE IN BLISTER AL/PVC/PVDC	CAPECITABINA	CAPECITABINA			Compressa rivestita con film	L01BC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041927029	041927	CAPECITABINA MYLAN	150 MG COMPRESSE RIVESTITE CON FILM- 60 COMPRESSE IN BLISTER AL/PVC/PE/PVDC	CAPECITABINA	CAPECITABINA			Compressa rivestita con film	L01BC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041927031	041927	CAPECITABINA MYLAN	500 MG COMPRESSE RIVESTITE CON FILM- 120 COMPRESSE IN BLISTER AL/PVC/PVDC	CAPECITABINA	CAPECITABINA			Compressa rivestita con film	L01BC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041927043	041927	CAPECITABINA MYLAN	500 MG COMPRESSE RIVESTITE CON FILM- 120 COMPRESSE IN BLISTER AL/PVC/PE/PVDC	CAPECITABINA	CAPECITABINA			Compressa rivestita con film	L01BC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041927056	041927	CAPECITABINA MYLAN	150 MG COMPRESSE RIVESTITE CON FILM- 60X1 COMPRESSE IN BLISTER AL/PVC/PE/PVDC	CAPECITABINA	CAPECITABINA			Compressa rivestita con film	L01BC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041927068	041927	CAPECITABINA MYLAN	500 MG COMPRESSE RIVESTITE CON FILM- 120X1 COMPRESSE IN BLISTER AL/PVC/PE/PVDC	CAPECITABINA	CAPECITABINA			Compressa rivestita con film	L01BC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041928033	041928	CAPECITABINA ZENTIVA	500 MG COMPRESSE RIVESTITE CON FILM- 120 COMPRESSE IN BLISTER AL/PVC/PVDC	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
041928045	041928	CAPECITABINA ZENTIVA	500 MG COMPRESSE RIVESTITE CON FILM- 120 COMPRESSE IN BLISTER AL/PVC/PE/PVDC	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183018	042183	ECANSYA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183020	042183	ECANSYA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183032	042183	ECANSYA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183044	042183	ECANSYA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183057	042183	ECANSYA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183069	042183	ECANSYA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183071	042183	ECANSYA	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183083	042183	ECANSYA	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183095	042183	ECANSYA	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183107	042183	ECANSYA	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183119	042183	ECANSYA	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183121	042183	ECANSYA	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183133	042183	ECANSYA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183145	042183	ECANSYA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183158	042183	ECANSYA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183160	042183	ECANSYA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183172	042183	ECANSYA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042183184	042183	ECANSYA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	KRKA D.D. NOVO MESTO	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042286017	042286	CAPECITABINA TEVA	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU)- 60 COMRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042286029	042286	CAPECITABINA TEVA	500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU)- 120 COMRESSE	CAPECITABINA	CAPECITABINA	500	milligrammi	Compressa rivestita con film	L01BC06	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501015	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 28 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501027	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501039	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 56 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501041	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501054	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 84 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501066	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 112 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501078	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501080	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 28 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501092	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501104	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 56 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501116	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501128	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 84 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501130	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 112 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501142	042501	CAPECITABINA MEDAC	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PVDC/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	150	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501155	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 28 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501167	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 30 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501179	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 56 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501181	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 60 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501193	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 84 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501205	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 112 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042501217	042501	CAPECITABINA MEDAC	300 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU/ALU)- 120 COMPRESSE	CAPECITABINA	CAPECITABINA	300	milligrammi	Compressa rivestita con film	L01BC06	MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
