codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
034624015	034624	CELEBREX	100 MG 2 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624027	034624	CELEBREX	100 MG 6 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624039	034624	CELEBREX	100 MG 10 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624041	034624	CELEBREX	100 MG 20 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624054	034624	CELEBREX	100 MG 30 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624066	034624	CELEBREX	100 MG 40 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624078	034624	CELEBREX	100 MG 50 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624080	034624	CELEBREX	100 MG 60 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624092	034624	CELEBREX	100 MG 100 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624104	034624	CELEBREX	100 MG 10X10 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624116	034624	CELEBREX	100 MG 10X30 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624128	034624	CELEBREX	100 MG 10X50 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624130	034624	CELEBREX	100 MG 50X1 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034624142	034624	CELEBREX	100 MG 100X1 CAPSULE RIGIDE IN BLISTER ALLUMINIO/PVC TRASPARENTE	CELECOXIB	CELECOXIB	100	milligrammi	Capsula rigida	M01AH01	VIATRIS PHARMA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
