codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
039539010	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539022	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539034	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539046	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539059	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539061	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539073	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539085	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539097	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
039539109	039539	912268	1 ML certolizumab pegol 200 MG/ML Prefilled Syringe [Cimzia]	849599	EXACT	auto-linked from EMA 001037		2026-06-12
