codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
026664019	026664	CIPROXIN	250 MG COMPRESSE RIVESTITE- 10 COMPRESSE	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO			Compressa rivestita con film	J01MA02	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
026664021	026664	CIPROXIN	500 MG COMPRESSE RIVESTITE- 6 COMPRESSE	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO			Compressa rivestita con film	J01MA02	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
026664045	026664	CIPROXIN	200 MG/100 ML SOLUZIONE PER INFUSIONE- 1 FLACONE DA 100 ML	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO			Soluzione per infusione	J01MA02	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
026664134	026664	CIPROXIN	500 MG COMPRESSE RIVESTITE - 14 COMPRESSE	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO			Compressa rivestita con film	J01MA02	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
028476012	028476	OFTACILOX	0,3% COLLIRIO, SOLUZIONE- FLACONE  5 ML	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO	0.3	percent	Collirio, soluzione	S01AE03	NTC S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
028476024	028476	OFTACILOX	0,3% UNGUENTO OFTALMICO- TUBO 3,5 G	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO	0.3	percent	Unguento oftalmico	S01AE03	NTC S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
037718018	037718	CIPROFLOXACINA DOC GENERICI	250 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PVDC/AL	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO	250	milligrammi	Compressa rivestita con film	J01MA02	DOC GENERICI SRL	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037718020	037718	CIPROFLOXACINA DOC GENERICI	500 MG COMPRESSE RIVESTITE CON FILM- 6 COMPRESSE IN BLISTER PVC/PVDC/AL	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO	500	milligrammi	Compressa rivestita con film	J01MA02	DOC GENERICI SRL	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037718032	037718	CIPROFLOXACINA DOC GENERICI	750 MG COMPRESSE RIVESTITE CON FILM- 12 COMPRESSE IN BLISTER PVC/PVDC/AL	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO	750	milligrammi	Compressa rivestita con film	J01MA02	DOC GENERICI SRL	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040648014	040648	UNICEXAL	2MG/ML GOCCE AURICOLARI SOLUZIONE- 15 FIALE IN LDPE	CIPROFLOXACINA CLORIDRATO	CIPROFLOXACINA CLORIDRATO	2	milligram(s)/millilitre	Gocce auricolari, soluzione	S02AA15	INFECTOPHARM ARZNEIMITTEL UND CONSILIUM GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
