codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
028681043	028681	ELOPRAM	40 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE  - 10 FIALE 1 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Concentrato per soluzione per infusione	N06AB04	LUNDBECK ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
028681056	028681	ELOPRAM	40 MG/ ML GOCCE ORALI, SOLUZIONE- 1 FLACONE DA 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	LUNDBECK ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
028759049	028759	SEROPRAM	40 MG/ML GOCCE ORALI, SOLUZIONE- FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	LUNDBECK ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
028759052	028759	SEROPRAM	40 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE - 10 FIALE 1 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Concentrato per soluzione per infusione	N06AB04	LUNDBECK ITALIA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036038014	036038	CITALOPRAM RATIOPHARM ITALIA	40 MG/ ML GOCCE ORALI, SOLUZIONE- FLACONE DA 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	40	milligram(s)/millilitre	Gocce orali, soluzione	N06AB04	TEVA B.V.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036039016	036039	CITALOPRAM SANDOZ GMBH	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	400	milligrammi	Gocce orali, soluzione	N06AB04	SANDOZ GMBH	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036043014	036043	CITALOPRAM ABC	40 MG/ ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	ICE S.P.A	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036056012	036056	RICAP	40 MG/ ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	FARMACEUTICI CABER S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036246015	036246	KAIDOR	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	6000	milligrammi	Gocce orali, soluzione	N06AB04	ERREKAPPA CONSUMER S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036254011	036254	CITALOPRAM ZENTIVA	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	40	milligram(s)/millilitre	Gocce orali, soluzione	N06AB04	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036327017	036327	SINTOPRAM	40 MG/ML GOCCE ORALI, SOLUZIONE- FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	BIOMEDICA FOSCAMA INDUSTRIA CHIMICO-FARMACEUTICA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036653018	036653	CITALOPRAM DOC	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	400	milligrammi	Gocce orali, soluzione	N06AB04	DOC GENERICI SRL	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036657017	036657	CITALOPRAM MYLAN GENERICS ITALIA	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	400	milligrammi	Gocce orali, soluzione	N06AB04	MYLAN S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036660037	036660	CITALOPRAM AUROBINDO ITALIA	40 MG/ ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036662017	036662	CITALOPRAM HEXAL AG	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	6000	milligrammi	Gocce orali, soluzione	N06AB04	HEXAL AG	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036675039	036675	CITALOPRAM AUROBINDO	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036792036	036792	RETURN	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	40	milligram(s)/millilitre	Gocce orali, soluzione	N06AB04	EURO-PHARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036971012	036971	CITALOPRAM ALMUS PHARMA	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO			Gocce orali, soluzione	N06AB04	ALMUS S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
038199016	038199	CITALOPRAM PENSA PHARMA	40 MG/ML GOCCE ORALI, SOLUZIONE - FLACONE 15 ML	CITALOPRAM CLORIDRATO	CITALOPRAM CLORIDRATO	4	milligram(s)/millilitre	Gocce orali, soluzione	N06AB04	TOWA PHARMACEUTICAL S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
