codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
029005016	029005	LEUSTATIN	10 MG/10 ML SOLUZIONENPER INFUSIONE- 7 FLACONI DA 10 ML	CLADRIBINA	CLADRIBINA	1	milligram(s)/millilitre	SOLUZIONE	L01BB04	ATNAHS PHARMA NETHERLANDS BV	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029005028	029005	LEUSTATIN	2 MG/ML SOLUZIONE INIETTABILE- 1 FLACONCINO IN VETRO DA 10 ML	CLADRIBINA	CLADRIBINA	2	milligram(s)/millilitre	Soluzione iniettabile	L01BB04	ATNAHS PHARMA NETHERLANDS BV	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029005030	029005	LEUSTATIN	2 MG/ML SOLUZIONE INIETTABILE- 5 FLACONCINI IN VETRO DA 10 ML	CLADRIBINA	CLADRIBINA	2	milligram(s)/millilitre	Soluzione iniettabile	L01BB04	ATNAHS PHARMA NETHERLANDS BV	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
038237018	038237	LITAK	2MG/ML SOLUZIONE INIETTABILE -USO SOTTOCUTANEO FLAC. (VETRO) 5 ML - 1 FLACONCINO	CLADRIBINA	CLADRIBINA	2	milligram(s)/millilitre	Soluzione iniettabile	L01BB04	LIPOMED GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
038237020	038237	LITAK	2MG/ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - FLAC. (VETRO) 5 ML- 5 FLACONCINI	CLADRIBINA	CLADRIBINA	2	milligram(s)/millilitre	Soluzione iniettabile	L01BB04	LIPOMED GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
045615010	045615	MAVENCLAD	10 MG - COMPRESSA - USO ORALE - BLISTER (AL/AL) - 1 COMPRESSA	CLADRIBINA	CLADRIBINA	10	milligrammi	Compressa	L04AA40	MERCK EUROPE B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045615022	045615	MAVENCLAD	10 MG - COMPRESSA - USO ORALE - BLISTER (AL/AL) - 4 COMPRESSE	CLADRIBINA	CLADRIBINA	10	milligrammi	Compressa	L04AA40	MERCK EUROPE B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045615034	045615	MAVENCLAD	10 MG - COMPRESSA - USO ORALE - BLISTER (AL/AL) - 5 COMPRESSA	CLADRIBINA	CLADRIBINA	10	milligrammi	Compressa	L04AA40	MERCK EUROPE B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045615046	045615	MAVENCLAD	10 MG - COMPRESSA - USO ORALE - BLISTER (AL/AL) - 6 COMPRESSE	CLADRIBINA	CLADRIBINA	10	milligrammi	Compressa	L04AA40	MERCK EUROPE B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045615059	045615	MAVENCLAD	10 MG - COMPRESSA - USO ORALE - BLISTER (AL/AL) - 7 COMPRESSE	CLADRIBINA	CLADRIBINA	10	milligrammi	Compressa	L04AA40	MERCK EUROPE B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045615061	045615	MAVENCLAD	10 MG - COMPRESSA - USO ORALE - BLISTER (AL/AL) - 8 COMPRESSA	CLADRIBINA	CLADRIBINA	10	milligrammi	Compressa	L04AA40	MERCK EUROPE B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
