codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
044715011	044715	DARUNAVIR SANDOZ	75 MG COMPRESSE RIVESTITE CON FILM- 480 COMPRESSE IN FLACONE HDPE	DARUNAVIR	DARUNAVIR	75	milligrammi	Compressa rivestita con film	J05AE10	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044715023	044715	DARUNAVIR SANDOZ	600 MG COMPRESSE RIVESTITE CON FILM- 60 COMPRESSE IN FLACONE HDPE	DARUNAVIR	DARUNAVIR	600	milligrammi	Compressa rivestita con film	J05AE10	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
044715035	044715	DARUNAVIR SANDOZ	800 MG COMPRESSE RIVEST6ITE CON FILM- 30 COMPRESSE IN FLACONE HDPE	DARUNAVIR	DARUNAVIR	800	milligrammi	Compressa rivestita con film	J05AE10	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250014	045250	DARUNAVIR VIATRIS	75 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU) - 480 COMPRESSE	DARUNAVIR	DARUNAVIR	75	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250026	045250	DARUNAVIR VIATRIS	75 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU) - 480 X 1 COMPRESSA (DOSE UNITARIA)	DARUNAVIR	DARUNAVIR	75	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250038	045250	DARUNAVIR VIATRIS	75 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALU/OPA/ALU) - 480 COMPRESSE	DARUNAVIR	DARUNAVIR	75	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250040	045250	DARUNAVIR VIATRIS	75 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/ALU/OPA/ALU) - 480 X 1 COMPRESSA (DOSE UNITARIA)	DARUNAVIR	DARUNAVIR	75	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250053	045250	DARUNAVIR VIATRIS	75 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - FLACONE (HDPE) - 480 COMPRESSE	DARUNAVIR	DARUNAVIR	75	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250065	045250	DARUNAVIR VIATRIS	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU) - 240 COMPRESSE	DARUNAVIR	DARUNAVIR	150	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045250077	045250	DARUNAVIR VIATRIS	150 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/ALU) - 240 X 1 COMPRESSA (DOSE UNITARIA)	DARUNAVIR	DARUNAVIR	150	milligrammi	Compressa rivestita con film	J05AE10	VIATRIS LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
