codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
023892021	023892	MINIRIN/DDAVP	4 MCG/ML SOLUZIONE INIETTABILE-10 FIALE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Soluzione iniettabile	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892033	023892	MINIRIN/DDAVP	50 MCG/ML SPRAY NASALE, SOLUZIONE-FLACONE NEBULIZZATORE 2,5 ML	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Spray nasale, soluzione	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892084	023892	MINIRIN/DDAVP	60 MCG COMPRESSE SUBLINGUALI - 10 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892096	023892	MINIRIN/DDAVP	60 MCG COMPRESSE SUBLINGUALI - 30 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892108	023892	MINIRIN/DDAVP	60 MCG COMPRESSE SUBLINGUALI - 100 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892110	023892	MINIRIN/DDAVP	120 MCG COMPRESSE SUBLINGUALI - 10 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892122	023892	MINIRIN/DDAVP	120 MCG COMPRESSE SUBLINGUALI - 30 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892134	023892	MINIRIN/DDAVP	120 MCG COMPRESSE SUBLINGUALI - 100 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892146	023892	MINIRIN/DDAVP	240 MCG COMPRESSE SUBLINGUALI - 10 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892159	023892	MINIRIN/DDAVP	240 MCG COMPRESSE SUBLINGUALI - 30 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023892161	023892	MINIRIN/DDAVP	240 MCG COMPRESSE SUBLINGUALI - 100 COMPRESSE	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	FERRING S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
050711011	050711	DESMOPRESSINA SANDOZ	60 MICROGRAMMI COMPRESSE SUBLINGUALI- 30 COMPRESSE IN BLISTER OPA-Al-PVC-PE/AL	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
050711023	050711	DESMOPRESSINA SANDOZ	120 MICROGRAMMI COMPRESSE SUBLINGUALI- 30 COMPRESSE IN BLISTER OPA-Al-PVC-PE/AL	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
050711035	050711	DESMOPRESSINA SANDOZ	240 MICROGRAMMI COMPRESSE SUBLINGUALI- 30 COMPRESSE IN BLISTER OPA-Al-PVC-PE/AL	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
050735012	050735	DESMOPRESSINA ZENTIVA	60 MICROGRAMMI COMPRESSE SUBLINGUALI- 10 COMPRESSE IN BLISTER OPA/AL/PVC/PE-AL	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
050735024	050735	DESMOPRESSINA ZENTIVA	60 MICROGRAMMI COMPRESSE SUBLINGUALI- 20 COMPRESSE IN BLISTER OPA/AL/PVC/PE-AL	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
050735036	050735	DESMOPRESSINA ZENTIVA	60 MICROGRAMMI COMPRESSE SUBLINGUALI- 30 COMPRESSE IN BLISTER OPA/AL/PVC/PE-AL	DESMOPRESSINA ACETATO	DESMOPRESSINA ACETATO			Compressa sublinguale	H01BA02	ZENTIVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
