codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
025247014	025247	PLANUM	0,15 MG + 0,03 MG COMPRESSE- 21 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
025247026	025247	PLANUM	0,15 MG + 0,03 MG COMPRESSE- 3 BLISTER DA 21 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
025253016	025253	PRACTIL	0,15MG+0,03MG COMPRESSE- 21 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	ORGANON ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027233016	027233	MERCILON	0,15 MG + 0,02 MG COMPRESSE-21 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	ORGANON ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027233028	027233	MERCILON	0,15 MG + 0,02 MG COMPRESSE- 63 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	ORGANON ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
027233030	027233	MERCILON	0,15 MG + 0,02 MG COMPRESSE- 126 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	ORGANON ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
027436017	027436	SECURGIN	0,15 MG + 0,02 MG COMPRESSE- 21 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027436029	027436	SECURGIN	0,15 MG + 0,02 MG COMPRESSE- 3 BLISTER 21 COMPRESSE	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
027436031	027436	SECURGIN	0.15 MG + 0.02 MG COMPRESSE- 6 BLISTER 21 CPR	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	|	|	Compressa	G03AA09	A. MENARINI INDUSTRIE FARMACEUTICHE RIUNITE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
035984018	035984	NOVYNETTE	21 COMPRESSE RIVESTITE CON FILM IN BLISTER AL/PVC/PVDC DA 150 MCG + 20 MCG	DESOGESTREL/ETINILESTRADIOLO	DESOGESTREL|ETINILESTRADIOLO	150|20	microgrammi|microgrammi	Compressa rivestita con film	G03AA09	GEDEON RICHTER PLC	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
