codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
002906016	002906	LOMARIN	50 MG COMPRESSE- 4 COMPRESSE IN BLISTER PVC/AL	DIMENIDRINATO	DIMENIDRINATO	50	milligrammi	Compressa	A04AD	PHARMADAY PHARMACEUTICAL S.R.L. UNIPERSONALE	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
002906030	002906	LOMARIN	50 MG COMPRESSE- 10 COMPRESSE IN BLISTER PVC/AL	DIMENIDRINATO	DIMENIDRINATO	50	milligrammi	Compressa	A04AD	PHARMADAY PHARMACEUTICAL S.R.L. UNIPERSONALE	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
002955058	002955	XAMAMINA MAL DI VIAGGIO	50 MG CAPSULE MOLLI- 2 CAPSULE	DIMENIDRINATO	DIMENIDRINATO			Capsula molle	R06AA02	DOMPE' FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
002955060	002955	XAMAMINA MAL DI VIAGGIO	50 MG CAPSULE MOLLI- 6 CAPSULE	DIMENIDRINATO	DIMENIDRINATO			Capsula molle	R06AA02	DOMPE' FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
002955072	002955	XAMAMINA MAL DI VIAGGIO	50 MG CAPSULE MOLLI- 10 CAPSULE	DIMENIDRINATO	DIMENIDRINATO			Capsula molle	R06AA02	DOMPE' FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
002955108	002955	XAMAMINA MAL DI VIAGGIO	BAMBINI 25 MG CAPSULE MOLLI- 6 CAPSULE	DIMENIDRINATO	DIMENIDRINATO			Capsula molle	R06AA02	DOMPE' FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
003452012	003452	VALONTAN	ADULTI 100 MG COMPRESSE RIVESTITE- 4 COMPRESSE	DIMENIDRINATO	DIMENIDRINATO	100	milligrammi	Compressa rivestita	R06AA11	RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
003452024	003452	VALONTAN	ADULTI 100 MG COMPRESSE RIVESTITE- 10 COMPRESSE	DIMENIDRINATO	DIMENIDRINATO	100	milligrammi	Compressa rivestita	R06AA11	RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
005170016	005170	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 6 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Compressa masticabile	R06AA02	COOPER CONSUMER HEALTH B.V.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
005170028	005170	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Compressa masticabile	R06AA02	COOPER CONSUMER HEALTH B.V.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
038852036	038852	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Compressa masticabile	R06AA02	PROGRAMMI SANITARI INTEGRATI S.R.L.	Autorizzata	Importazione Parallela	Medicinali non soggetti a prescrizione medica, da banco.
038853014	038853	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Gomma da masticare medicata	R06AA02	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali non soggetti a prescrizione medica, da banco.
042229017	042229	NOVAGO	<50 mg compresse> 10 compresse in blister PVC/Al	DIMENIDRINATO	DIMENIDRINATO	50	milligrammi	Compressa	R06AA02	INDUSTRIA FARMACEUTICA NOVA ARGENTIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
044132013	044132	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Gomma da masticare medicata	R06AA02	MEDIFARM S.R.L.	Autorizzata	Importazione Parallela	Medicinali non soggetti a prescrizione medica, da banco.
045664012	045664	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Gomma da masticare medicata	R06AA02	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali non soggetti a prescrizione medica, da banco.
049174016	049174	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Gomma da masticare medicata	R06AA02	FARMED S.R.L.	Autorizzata	Importazione Parallela	Medicinali non soggetti a prescrizione medica, da banco.
051787012	051787	TRAVELGUM	20 MG GOMME DA MASTICARE MEDICATE- 10 GOMME	DIMENIDRINATO	DIMENIDRINATO	20	milligrammi	Compressa masticabile	R06AA02	NEW PHARMASHOP S.R.L.	Autorizzata	Importazione Parallela	Medicinali non soggetti a prescrizione medica, da banco.
