codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
043783012	043783	TRULICITY	0,75 MG  SOLUZIONE INIETTABILE  - USO SOTTOCUTANEO -  SIRINGA DI VETRO  IN PENNA PRERIEMPITA 0,5 ML -  2 PENNE	DULAGLUTIDE	DULAGLUTIDE	0.8	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783024	043783	TRULICITY	0,75 MG  SOLUZIONE INIETTABILE  - USO SOTTOCUTANEO -  SIRINGA DI VETRO IN PENNA PRERIEMPITA 0,5 ML -  4 PENNE	DULAGLUTIDE	DULAGLUTIDE	0.8	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
043783036	043783	TRULICITY	0,75 MG  SOLUZIONE INIETTABILE  - USO SOTTOCUTANEO -  SIRINGA DI VETROIN PENNA PRERIEMPITA -  CONFEZIONE MULTIPLA 3 CONFEZIONI DA 4 PENNE	DULAGLUTIDE	DULAGLUTIDE	0.8	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783048	043783	TRULICITY	0,75 MG  SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO - 4 SIRINGHE	DULAGLUTIDE	DULAGLUTIDE	0.8	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783051	043783	TRULICITY	0,75 MG  SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO - CONFEZIONE MULTIPLA 3 CONFEZIONI DA 4 SIRINGHE	DULAGLUTIDE	DULAGLUTIDE	0.8	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783063	043783	TRULICITY	1,5 MG  SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO IN PENNA PRERIEMPITA - 2 PENNE	DULAGLUTIDE	DULAGLUTIDE	1.5	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783075	043783	TRULICITY	1,5 MG  SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO IN PENNA PRERIEMPITA - 4 PENNE	DULAGLUTIDE	DULAGLUTIDE	1.5	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
043783087	043783	TRULICITY	1,5 MG  SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO IN PENNA PRERIEMPITA - CONFEZIONE MULTIPLA 3 CONFEZIONI DA 4 PENNE	DULAGLUTIDE	DULAGLUTIDE	1.5	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783099	043783	TRULICITY	1,5 MG  SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO - 4 SIRINGHE	DULAGLUTIDE	DULAGLUTIDE	1.5	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
043783101	043783	TRULICITY	1,5 MG - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - SIRINGA DI VETRO  CONFEZIONE MULTIPLA 3 CONFEZIONI DA 4 SIRINGHE	DULAGLUTIDE	DULAGLUTIDE	1.5	milligrammi	Soluzione iniettabile	A10BJ05	ELI LILLY NEDERLAND B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
