codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
047054010	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PVDC/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054022	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER PVC/PVDC/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054034	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PVC/PVDC/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054046	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PCTFE/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054059	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER PVC/PCTFE/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054061	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PVC/PCTFE/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054073	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER OPA/AL/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054085	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER OPA/AL/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054097	047054	ESNOXIBEN	1 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
047054109	047054	ESNOXIBEN	2 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PVDC/PVC/AL	ESZOPICLONE	ESZOPICLONE			Compressa rivestita con film	N05CF04	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
