codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
048668014	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668026	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668038	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668040	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668053	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668065	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668077	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668091	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668103	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
048668115	048668	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
051658019	051658	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
052477015	052477	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
052617014	052617	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
052828011	052828	37499093	bempedoic acid 180 MG / ezetimibe 10 MG Oral Tablet	2283230	EXACT	auto-linked from EMA 004959		2026-06-12
