codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
047583125	047583	ANCILLEG	10 MG/20 MG CAPSULE RIGIDE- 90 CAPSULE IN BLISTER OPA/AL/PVC/AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	20|10	milligrammi|milligrammi	Capsula rigida	C10BA05	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746011	049746	TOVASTIBE	10MG/10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746023	049746	TOVASTIBE	10MG/10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746035	049746	TOVASTIBE	10MG/10 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746047	049746	TOVASTIBE	10MG/10 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746050	049746	TOVASTIBE	10 MG/20 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746062	049746	TOVASTIBE	10 MG/20 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746074	049746	TOVASTIBE	10 MG/20 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746086	049746	TOVASTIBE	10 MG/20 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746098	049746	TOVASTIBE	10 MG/40 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746100	049746	TOVASTIBE	10 MG/40 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746112	049746	TOVASTIBE	10 MG/40 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746124	049746	TOVASTIBE	10 MG/40 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746136	049746	TOVASTIBE	10 MG/80 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049746148	049746	TOVASTIBE	10 MG/80 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER OPA/AL/PVC-AL	EZETIMIBE/ATORVASTATINA	ATORVASTATINA|EZETIMIBE	|	|	Compressa rivestita con film	C10BA05	Viatris Healthcare Limited	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
