codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
045304019	045304	MAORIS	5 MG/10 MG COMPRESSE- 28 COMPRESSE IN BLISTER PA/AL/PVC	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|5	milligrammi|milligrammi	Compressa	C10BA06	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045304021	045304	MAORIS	10 MG/10 MG COMPRESSE- 28 COMPRESSE IN BLISTER PA/AL/PVC	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|10	milligrammi|milligrammi	Compressa	C10BA06	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045304033	045304	MAORIS	20 MG/10 MG COMPRESSE- 28 COMPRESSE IN BLISTER PA/AL/PVC	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|20	milligrammi|milligrammi	Compressa	C10BA06	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045351018	045351	COMPUNA	<5 MG/10 MG COMPRESSE> 28 COMPRESSE IN BLISTER  PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|5	milligrammi|milligrammi	Compressa	C10BA06	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045351020	045351	COMPUNA	<10 MG/10 MG COMPRESSE> 28 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|10	milligrammi|milligrammi	Compressa	C10BA06	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045351032	045351	COMPUNA	<20 MG/10 MG COMPRESSE> 28 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|20	milligrammi|milligrammi	Compressa	C10BA06	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045351044	045351	COMPUNA	40 MG/10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	10|41.6	milligrammi|milligrammi	Compressa rivestita con film	C10BA06	BRUNO FARMACEUTICI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045424013	045424	ROZETIMAD	5 MG/10 MG COMPRESSE- 28 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	|	|	Compressa	C10BA06	ADAMED S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045424025	045424	ROZETIMAD	10 MG/10 MG COMPRESSE- 28 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	|	|	Compressa	C10BA06	ADAMED S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045424037	045424	ROZETIMAD	20 MG/10 MG COMPRESSE- 28 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	|	|	Compressa	C10BA06	ADAMED S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045424049	045424	ROZETIMAD	5 MG/10 MG COMPRESSE- 30 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	|	|	Compressa	C10BA06	ADAMED S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
045424052	045424	ROZETIMAD	10 MG/10 MG COMPRESSE- 30 COMPRESSE IN BLISTER PA/AL/PVC-AL	EZETIMIBE/ROSUVASTATINA SALE DI CALCIO	EZETIMIBE|ROSUVASTATINA SALE DI CALCIO	|	|	Compressa	C10BA06	ADAMED S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
