codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
033657026	033657	BERIATE	500 UI/5 ML-  FLACONCINO POLVERE + FLACONCINO SOLVENTE 5 ML + SET ACCESSORI	FATTORE VIII	FATTORE VIII			Polvere e solvente per soluzione iniettabile/ per infusione	B02BD02	CSL BEHRING GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
033657038	033657	BERIATE	1000 UI/10 ML-  FLACONCINO POLVERE + FLACONCINO SOLVENTE 10 ML + SET ACCESSORI	FATTORE VIII	FATTORE VIII			Polvere e solvente per soluzione iniettabile/ per infusione	B02BD02	CSL BEHRING GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
033657040	033657	BERIATE	2000 UI/10 ML-  FLACONCINO POLVERE + FLACONCINO SOLVENTE 10 ML + SET ACCESSORI	FATTORE VIII	FATTORE VIII			Polvere e solvente per soluzione iniettabile/ per infusione	B02BD02	CSL BEHRING GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
048083012	048083	ESPEROCT	500 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO), SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 500 UI, SOLVENTE: 4 ML (125 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 STANTUFFO + 1 ADATTATORE PER FLACONCINO	FATTORE VIII	FATTORE VIII	500	international unit(s)	Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048083024	048083	ESPEROCT	1000 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO), SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 1000 UI, SOLVENTE: 4 ML (250 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 STANTUFFO + 1 ADATTATORE PER FLACONCINO	FATTORE VIII	FATTORE VIII	1000	international unit(s)	Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048083036	048083	ESPEROCT	1500 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO), SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 1500 UI, SOLVENTE: 4 ML (375 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 STANTUFFO + 1 ADATTATORE PER FLACONCINO	FATTORE VIII	FATTORE VIII	1500	international unit(s)	Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048083048	048083	ESPEROCT	2000 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO), SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 2000 UI, SOLVENTE: 4 ML (750 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 STANTUFFO + 1 ADATTATORE PER FLACONCINO	FATTORE VIII	FATTORE VIII	2000	international unit(s)	Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048083051	048083	ESPEROCT	3000 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO), SOLVENTE: SIRINGA PRERIEMPITA (VETRO) - POLVERE: 3000 UI, SOLVENTE: 4 ML (750 UI/ML) - 1 FLACONCINO + 1 SIRINGA PRERIEMPITA + 1 STANTUFFO + 1 ADATTATORE PER FLACONCINO	FATTORE VIII	FATTORE VIII			Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048083063	048083	ESPEROCT	4000 UI - Polvere e solvente per soluzione iniettabile - Uso endovenoso - Polvere: flaconcino (vetro), Solvente: siringa preriempita (vetro) Polvere: 4000 UI, Solvente: 4 ml (1000 UI/ml) - 1 flaconcino + 1 siringa preriempita + 1 stantuffo + 1 adattatore per flaconcino	FATTORE VIII	FATTORE VIII			Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
048083075	048083	ESPEROCT	5000 UI - Polvere e solvente per soluzione iniettabile - Uso endovenoso - Polvere: flaconcino (vetro), Solvente: siringa preriempita (vetro) Polvere: 5000 UI, Solvente: 4 ml (1250 UI/ml) - 1 flaconcino + 1 siringa preriempita + 1 stantuffo + 1 adattatore per flaconcino	FATTORE VIII	FATTORE VIII	5000	international unit(s)	Polvere e solvente per soluzione iniettabile	B02BD02	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
