codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
040949012	040949	GILENYA	0,5 MG - CAPSULE RIGIDE - USO ORALE - BLISTER DIVISIBILE PER DOSE UNITARIA(PVC/PVDC/ALU)- SCATOLA DA 7X1 CAPSULE	FINGOLIMOD	FINGOLIMOD	0.5	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949024	040949	GILENYA	0,5 MG - CAPSULE RIGIDE - USO ORALE - BLISTER(PVC/PVDC/ALU)- CONTENITORE A PORTAFOGLIO DA 7 CAPSULE	FINGOLIMOD	FINGOLIMOD	0.5	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949036	040949	GILENYA	0,5 MG - CAPSULE RIGIDE - USO ORALE - BLISTER(PVC/PVDC/ALU)- CONTENITORE A PORTAFOGLIO DA 28 CAPSULE	FINGOLIMOD	FINGOLIMOD	0.5	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949048	040949	GILENYA	0,5 MG - CAPSULE RIGIDE - USO ORALE - BLISTER(PVC/PVDC/ALU)- SCATOLA DA 84(3X28)CAPSULE (CONFEZIONE MULTIPLA)	FINGOLIMOD	FINGOLIMOD	0.5	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949051	040949	GILENYA	0,5 MG - CAPSULE RIGIDE - USO ORALE - BLISTER(PVC/PVDC/ALU)- SCATOLA DA 28 CAPSULE	FINGOLIMOD	FINGOLIMOD	0.5	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949075	040949	GILENYA	0,25 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (PVC/PVDC/ALU), SCATOLA - 7 X 1 CAPSULE (DOSE UNITARIA)	FINGOLIMOD	FINGOLIMOD	0.3	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949087	040949	GILENYA	0,25 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (PVC/PVDC/ALU), SCATOLA - 28 CAPSULE	FINGOLIMOD	FINGOLIMOD	0.3	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949099	040949	GILENYA	0,25 mg - Capsula rigida - Uso orale - blister (PVC/PVDC/alu), scatola - 7 capsule	FINGOLIMOD	FINGOLIMOD	0.3	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
040949101	040949	GILENYA	0,5 mg - Capsula rigida - Uso orale - Blister (PVC/PVDC/alu) scatola - 7 capsule	FINGOLIMOD	FINGOLIMOD	0.5	milligrammi	Capsula rigida	L04AE01	NOVARTIS EUROPHARM LIMITED	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959010	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 28 CAPSULE IN BLISTER PVC/ACLAR-AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959022	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 84 CAPSULE IN BLISTER PVC/ACLAR-AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959034	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 98 CAPSULE IN BLISTER PVC/ACLAR-AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959046	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 28 CAPSULE IN BLISTER PVC/ACLAR-AL CONFEZIONE CALENDARIO	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959059	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 84 CAPSULE IN BLISTER PVC/ACLAR-AL CONFEZIONE CALENDARIO	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959061	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 28 CAPSULE IN BLISTER PVC/PE/PVDC-AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959073	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 84 CAPSULE IN BLISTER PVC/PE/PVDC-AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959085	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 98 CAPSULE IN BLISTER PVC/PE/PVDC-AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959097	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 28 CAPSULE IN BLISTER PVC/PE/PVDC-AL CONFEZIONE CALENDARIO	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047959109	047959	MULFINYA	0,5 MG CAPSULE RIGIDE- 84 CAPSULE IN BLISTER PVC/PE/PVDC-AL CONFEZIONE CALENDARIO	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
047973019	047973	FINGOLIMOD EG	0,5 MG CAPSULE RIGIDE- 7 CAPSULE IN BLISTER PVC/PVDC/AL	FINGOLIMOD	FINGOLIMOD			Capsula rigida	L04AE01	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
