codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
029163033	029163	LESCOL	80 MG COMPRESSE RILASCIO PROLUNGATO- 28 COMPRESSE	FLUVASTATINA SODICA	FLUVASTATINA SODICA			Compressa a rilascio prolungato	C10AA04	ETHYX PHARMACEUTICALS	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029163060	029163	LESCOL	80 MG COMPRESSE A RILASCIO PROLUNGATO  - 42 COMPRESSE	FLUVASTATINA SODICA	FLUVASTATINA SODICA			Compressa a rilascio prolungato	C10AA04	ETHYX PHARMACEUTICALS	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029163072	029163	LESCOL	80 MG COMPRESSE A RILASCIO PROLUNGATO  - 56 COMPRESSE	FLUVASTATINA SODICA	FLUVASTATINA SODICA			Compressa a rilascio prolungato	C10AA04	ETHYX PHARMACEUTICALS	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029163084	029163	LESCOL	80 MG COMPRESSE A RILASCIO PROLUNGATO - 98 COMPRESSE	FLUVASTATINA SODICA	FLUVASTATINA SODICA			Compressa a rilascio prolungato	C10AA04	ETHYX PHARMACEUTICALS	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
038580015	038580	FLUVASTATINA DOC GENERICI	80 MG COMPRESSE A RILASCIO PROLUNGATO- 14 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	DOC GENERICI SRL	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038580027	038580	FLUVASTATINA DOC GENERICI	80 MG COMPRESSE A RILASCIO PROLUNGATO- 28 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	DOC GENERICI SRL	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582019	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 20 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582021	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 28 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582033	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582045	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 50 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582058	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 56 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582060	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 98 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038582072	038582	FLUVASTATINA EG	80 MG COMPRESSE A RILASCIO PROLUNGATO- 100 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	EG S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602013	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 10 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602025	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 20 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602037	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 28 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602049	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602052	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 50 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602064	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 60 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602076	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 98 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602088	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 100 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602090	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 250 COMPRESSE IN FLACONE HDPE	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038602102	038602	FLUVASTATINA AUROBINDO	80 MG COMPRESSE A RILASCIO PROLUNGATO- 250 COMPRESSE IN CONTENITORE DI VETRO AMBRATO	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038659013	038659	FLUVASTATINA MYLAN GENERICS	80 MG COMPRESSE A RILASCIO PROLUNGATO- 10 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038659025	038659	FLUVASTATINA MYLAN GENERICS	80 MG COMPRESSE A RILASCIO PROLUNGATO- 14 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038659037	038659	FLUVASTATINA MYLAN GENERICS	80 MG COMPRESSE A RILASCIO PROLUNGATO- 20 COMPRESSE IN BLISTER OPA/AL/PVC/AL	FLUVASTATINA SODICA	FLUVASTATINA SODICA	80	milligrammi	Compressa a rilascio prolungato	C10AA04	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
