codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
034964104	034964	GADOVIST	1,0  MMOL/ML- FLACONCINO DA 15  ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964116	034964	GADOVIST	1,0  MMOL/ML- FLACONCINO DA 30  ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964128	034964	GADOVIST	1,0  MMOL/ML- FLACONE PER INFUSIONE DA 65 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964130	034964	GADOVIST	1,0 MMOL/ML- FLACONCINO DA 7,5 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964142	034964	GADOVIST	1,0  MMOL/ML- SIRINGA PRERIEMPITA IN VETRO  DA 5 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964155	034964	GADOVIST	1,0  MMOL/ML- SIRINGA PRERIEMPITA IN VETRO  DA 7,5 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964167	034964	GADOVIST	1,0  MMOL/ML- SIRINGA PRERIEMPITA IN VETRO DA 10 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964179	034964	GADOVIST	1,0  MMOL/ML- SIRINGA PRERIEMPITA IN VETRO DA 15 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964181	034964	GADOVIST	1,0  MMOL/ML- SIRINGA PRERIEMPITA IN VETRO DA 20 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
034964193	034964	GADOVIST	1.0 MMOL/ML SOLUZIONE INIETTABILE- 1 CARTUCCIA DA 15 ML	GADOBUTROLO	GADOBUTROLO	604.72	milligrammi	Soluzione iniettabile	V08CA09	BAYER S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
