codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
037950019	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 1 COMPRESSA IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950021	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 2 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950033	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 4 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950045	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 5 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950058	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 6 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950060	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 7 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950072	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950084	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 14 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950096	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950108	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037950110	037950	GRANISETRON MYLAN GENERICS	1 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PVC/PVDC/AL	GRANISETRON CLORIDRATO	GRANISETRON CLORIDRATO	1	milligrammi	Compressa rivestita con film	A04AA02	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
