codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
036019014	036019	VENTAVIS	10 MCG/ML SOLUZIONE PER NEBULIZZAZIONE 30 FIALE 2 ML  USO RESPIRATORIO	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019026	036019	VENTAVIS	10 MCG/ML SOLUZIONE PER NEBULIZZAZIONE 100 FIALE 2 ML  USO RESPIRATORIO	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019038	036019	VENTAVIS	10 MCG/ML SOLUZIONE PER NEBULIZZAZIONE 300 FIALE 2 ML  USO RESPIRATORIO	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
036019040	036019	VENTAVIS	10 MCG/ML-SOLUZIONE PER NEBULIZZATORE--USO INALATORIO-FIALA(VETRO) 2ML-3X30FIALE	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019053	036019	VENTAVIS	10 MCG/ML-SOLUZIONE PER NEBULIZZATORE--USO INALATORIO-FIALA(VETRO) 2ML-10X30FIALE	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019091	036019	VENTAVIS	20 MCG/ML - SOLUZIONE PER NEBULIZZATORE - USO INALATORIO - FIALA (VETRO) - 1 ML - 30 FIALE	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019103	036019	VENTAVIS	20 MCG/ML - SOLUZIONE PER NEBULIZZATORE - USO INALATORIO - FIALA (VETRO) - 1 ML - 168 (4 X 42) FIALE	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019115	036019	VENTAVIS	10 MCG/ML - SOLUZIONE PER NEBULIZZATORE - USO INALATORIO - FIALA (VETRO) - 1 ML (10 MCG/ML) - 42 FIALE	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019127	036019	VENTAVIS	20 MCG/ML - SOLUZIONE PER NEBULIZZATORE - USO INALATORIO - FIALA (VETRO) - 1 ML (20 MCG/ML) - 42 FIALE	ILOPROST	ILOPROST	20		Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019139	036019	VENTAVIS	10 MCG/ML - SOLUZIONE PER NEBULIZZATORE - USO INALATORIO - FIALA (VETRO) - 1 ML (10 MCG/ML) - 168 (4 X 42) FIALE CONFEZIONATO CON PARTI CONSUMABILI DELL''INALATORE (CONFEZIONE MULTIPLA)	ILOPROST	ILOPROST			Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
036019141	036019	VENTAVIS	20 MCG/ML - SOLUZIONE PER NEBULIZZATORE - USO INALATORIO - FIALA (VETRO) - 1 ML (20 MCG/ML) - 168 (4 X 42) FIALE CONFEZIONATO CON PARTI CONSUMABILI DELL''INALATORE (CONFEZIONE MULTIPLA)	ILOPROST	ILOPROST	20		Soluzione per nebulizzatore	B01AC11	BAYER AG	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
