codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
042644017	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CONF FILM - USO ORALE - BLISTER (OPA/AL/PVC/AL) - 20X1 COMPRESSA	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644029	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (OPA/AL/PVC/AL) - 60 COMPRESSE	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644031	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (OPA/AL/PVC/AL) - 60X1 COMPRESSA	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644043	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (OPA/AL/PVC/AL) - 120 COMPRESSE	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644056	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (OPA/AL/PVC/AL) - 120X1 COMPRESSA	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644068	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (OPA/AL/PVC/AL) - 180X1 COMPRESSA	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
042644070	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/PE/PVC/AL) - 20X1 COMPRESSA	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644082	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/PE/PVC/AL) - 60 COMPRESSE	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644094	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/PE/PVC/AL) - 60X1 COMPRESSA	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
042644106	042644	IMATINIB TEVA	100 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (PVC/PE/PVDC/PE/PVC/AL) - 120 COMPRESSE	IMATINIB MESILATO	IMATINIB MESILATO			Compressa rivestita con film	L01EA01	TEVA B.V.	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
