codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
025266141	025266	IG VENA	50 G/L SOLUZIONE PER INFUSIONE- FLACONCINO DA 1 G/20 ML	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
025266154	025266	IG VENA	50 G/L SOLUZIONE  PER  INFUSIONE- 1 FLACONCINO DA 2,5 G/50 ML + APPENDINO ESTENDIBILE	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
025266166	025266	IG VENA	50  G/L  SOLUZIONE  PER  INFUSIONE-  1  FLACONCINO DA 5 G/100 ML + APPENDINO ESTENDIBILE	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
025266178	025266	IG VENA	50 G/L  SOLUZIONE  PER  INFUSIONE- 1 FLACONCINO DA 10G/200 ML + APPENDINO ESTENDIBILE	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
025266192	025266	IG VENA	50 G/L SOLUZIONE PER INFUSIONE- 2X(1 FLACONCINO DA 10G/200 ML + APPENDINO ESTENDIBILE)	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
025266204	025266	IG VENA	50 G/L SOLUZIONE PER INFUSIONE- 3X(1 FLACONCINO DA 10G/200 ML + APPENDINO ESTENDIBILE)	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	KEDRION S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029249048	029249	PLITAGAMMA	<50 MG/ML SOLUZIONE PER INFUSIONE>  1 FLACONE IN VETRO DA 50 ML	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	INSTITUTO GRIFOLS S.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029249051	029249	PLITAGAMMA	<50 MG/ML SOLUZIONE PER INFUSIONE> -  1 FLACONE IN VETRO DA 100 ML	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	INSTITUTO GRIFOLS S.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029249063	029249	PLITAGAMMA	<50 MG/ ML SOLUZIONE PER INFUSIONE> - 1 FLACONE IN VETRO DA 200 ML	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	INSTITUTO GRIFOLS S.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
029249075	029249	PLITAGAMMA	50 MG/ML SOLUZIONE PER INFUSIONE- 1 FLACONCINO IN VETRO DA 10 ML	IMMUNOGLOBULINA UMANA NORMALE	IMMUNOGLOBULINA UMANA NORMALE			Soluzione per infusione	J06BA02	INSTITUTO GRIFOLS S.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
