codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
025308038	025308	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE			Compressa	B01AC10	PFIZER ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
025308040	025308	IBUSTRIN	200 MG COMPRESSE- 48 COMPRESSE	INDOBUFENE	INDOBUFENE			Compressa	B01AC10	PFIZER ITALIA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
036765016	036765	INDOBUFENE EG	200 MG COMPRESSE - 30 COMPRESSE	INDOBUFENE	INDOBUFENE	2000	milligrammi	Compressa	B01AC10	EG S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
038532026	038532	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE	200	milligrammi	Compressa	B01AC10	PROGRAMMI SANITARI INTEGRATI S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
040487023	040487	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE	200	milligrammi	Compressa	B01AC10	BB FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
042938011	042938	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE	200	milligrammi	Compressa	B01AC10	MEDIFARM S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
044439014	044439	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE	200	milligrammi	Compressa	B01AC10	GENERAL PHARMA SOLUTIONS SPA	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
046614018	046614	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE	200	milligrammi	Compressa	B01AC10	FARMED S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
047269016	047269	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE	200	milligrammi	Compressa	B01AC10	GMM FARMA S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
047511011	047511	IBUSTRIN	200 MG COMPRESSE- 30 COMPRESSE	INDOBUFENE	INDOBUFENE			Compressa	B01AC10	NEW PHARMASHOP S.R.L.	Autorizzata	Importazione Parallela	Medicinali soggetti a prescrizione medica
