codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
034498016	034498	NOVORAPID	100 U/ML SOLUZIONE INIETTABILE 1 FIALA 10 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498028	034498	NOVORAPID	PENFILL 100 U/ML SOLUZIONE INIETTABILE 5 CARTUCCE 1,5 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498030	034498	NOVORAPID	PENFILL 100 U/ML SOLUZIONE INIETTABILE 5 CARTUCCE 3 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498042	034498	NOVORAPID	NOVOLET 100 U/ML SOLUZIONE INIETTABILE 5 SIRINGHE PRERIEMPITE 1,5 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498055	034498	NOVORAPID	NOVOLET 100 U/ML SOLUZIONE INIETTABILE 5 SIRINGHE PRERIEMPITE 3 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498093	034498	NOVORAPID	FLEXPEN 100 U/ML SOLUZIONE INIETTABILE 5 CARTUCCE IN PENNE PRERIEMPITE 3 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498131	034498	NOVORAPID	INNOLET 100 U/ML SOLUZIONE INIETTABILE - USO SOTTOCUTANEO ED ENDOVENOSO- CARTUCCIA (VETRO) IN PENNA PRERIEMPITA 3.0 ML  5 PENNE PRERIEMPITE	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498232	034498	NOVORAPID	PUMPCART- 100 U/ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - CARTUCCIA (VETRO) - 1.6 ML - 5 CARTUCCE	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034498244	034498	NOVORAPID	PUMPCART - 100 U/ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO O ENDOVENOSO - CARTUCCIA (VETRO) 1,6 ML - 25 (5 X 5) CARTUCCE	INSULINA ASPART	INSULINA ASPART			Soluzione iniettabile	A10AB05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
035563079	035563	NOVOMIX	FLEXPEN 100 U/ML SOSPENSIONE INIETTABILE 5 CARTUCCE IN PENNE PRERIEMPITE 3 ML USO SOTTOCUTANEO	INSULINA ASPART	INSULINA ASPART	100	international unit(s)/milli#	Sospensione iniettabile	A10AD05	NOVO NORDISK A/S	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
