codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
051230011	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230023	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230035	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230047	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230050	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230062	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230074	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230086	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230098	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230100	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230112	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230124	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230136	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
051230148	051230	1253134	INSULIN ICODEC	OMOP5556142	BROAD	auto-linked from EMA 005978		2026-06-12
