codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
037060011	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 14 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060023	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 28 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060035	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 56 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060047	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 84 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060050	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 98 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060062	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 100 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060074	037060	CORLENTOR	5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 112 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060086	037060	CORLENTOR	7,5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 14 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060098	037060	CORLENTOR	7,5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 28 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
037060100	037060	CORLENTOR	7,5 MG COMPRESSA RIVESTITA CON FILM USO ORALE BLISTER ALL/PVC 56 COMPRESSE	IVABRADINA CLORIDRATO	IVABRADINA CLORIDRATO			Compressa rivestita con film	C01EB17	LES LABORATOIRES SERVIER	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
