codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
027807054	027807	LAMICTAL	25  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI-  28  COMPRESSE	LAMOTRIGINA	LAMOTRIGINA	25	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027807066	027807	LAMICTAL	5  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI-  28  COMPRESSE IN BLISTER PVC/PVDC/FOGLIO DI ALLUMINIO	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027807078	027807	LAMICTAL	100  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI-  56  COMPRESSE	LAMOTRIGINA	LAMOTRIGINA	100	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027807080	027807	LAMICTAL	50  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI-  56  COMPRESSE	LAMOTRIGINA	LAMOTRIGINA	50	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027807092	027807	LAMICTAL	200  MG  COMPRESSE  MASTICABILI/  DISPERSIBILI-  56  COMPRESSE	LAMOTRIGINA	LAMOTRIGINA	200	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027807179	027807	LAMICTAL	2  MG   COMPRESSE   MASTICABILI/DISPERSIBILI-   30  COMPRESSE IN FLACONE HDPE CON CHIUSURA A PROVA DI BAMBINO	LAMOTRIGINA	LAMOTRIGINA	2	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807181	027807	LAMICTAL	5 MG COMPRESSE MASTICABILE/DISPERSIBILI- 14 COMPRESSE IN FLACONE HDPE	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807193	027807	LAMICTAL	5 MG COMPRESSE MASTICABILE/DISPERSIBILI- 28 COMPRESSE IN FLACONE HDPE	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807205	027807	LAMICTAL	5 MG COMPRESSE MASTICABILE/DISPERSIBILI- 30 COMPRESSE IN FLACONE HDPE	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807217	027807	LAMICTAL	5 MG COMPRESSE MASTICABILE/DISPERSIBILI- 42 COMPRESSE IN FLACONE HDPE	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807229	027807	LAMICTAL	5 MG COMPRESSE MASTICABILE/DISPERSIBILI- 56 COMPRESSE IN FLACONE HDPE	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807231	027807	LAMICTAL	5 MG COMPRESSE MASTICABILE/DISPERSIBILI- 60 COMPRESSE IN FLACONE HDPE	LAMOTRIGINA	LAMOTRIGINA	5	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807243	027807	LAMICTAL	25 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 28 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	25	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027807256	027807	LAMICTAL	25 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 30 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	25	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807268	027807	LAMICTAL	25 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 42 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	25	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807270	027807	LAMICTAL	25 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 56 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	25	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807282	027807	LAMICTAL	25 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 60 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	25	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807294	027807	LAMICTAL	50 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 28 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	50	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807306	027807	LAMICTAL	50 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 30 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	50	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
027807318	027807	LAMICTAL	50 MG COMPRESSE MASTICABILI/ DISPERSIBILI- 42 COMPRESSE IN BLISTER PVC/PVDC/AL/CARTA	LAMOTRIGINA	LAMOTRIGINA	50	milligrammi	Compressa dispersibile	N03AX09	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
