codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
034702011	034702	ARAVA	10 MG COMPRESSE FILM RIVESTITE BLISTER 30 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702023	034702	ARAVA	10 MG COMPRESSE FILM RIVESTITE BLISTER 100 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702035	034702	ARAVA	10 MG COMPRESSE FILM RIVESTITE FLACONE 30 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702047	034702	ARAVA	10 MG COMPRESSE FILM RIVESTITE FLACONE 100 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702050	034702	ARAVA	20 MG COMPRESSE FILM RIVESTITE BLISTER 30 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702062	034702	ARAVA	20 MG COMPRESSE FILM RIVESTITE BLISTER 100 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702074	034702	ARAVA	20 MG COMPRESSE FILM RIVESTITE FLACONE 30 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702086	034702	ARAVA	20 MG COMPRESSE FILM RIVESTITE FLACONE 100 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
034702098	034702	ARAVA	100 MG COMPRESSE FILM RIVESTITE BLISTER 3 COMPRESSE USO ORALE	LEFLUNOMIDE	LEFLUNOMIDE			Compressa rivestita con film	L04AK01	SANOFI-AVENTIS DEUTSCHLAND GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica
040419018	040419	LEFLUNOMIDE SANDOZ	10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN FLACONE HDPE	LEFLUNOMIDE	LEFLUNOMIDE	10	milligrammi	Compressa rivestita con film	L04AK01	SANDOZ S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
