codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
045060011	045060	KISPLYX	4 MG - CAPSULA RIGIDA - USO ORALE - BLISTER PA/ALU/PVC/ALU - 30 CAPSULE	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	EISAI GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045060023	045060	KISPLYX	10 MG - CAPSULA RIGIDA - USO ORALE - BLISTER PA/ALU/PVC/ALU - 30 CAPSULE	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	EISAI GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045060035	045060	KISPLYX	4 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (POLIAMMIDE/ALLUMINIO/PVC/ALLUMINIO) - 60 CAPSULE	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	EISAI GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045060047	045060	KISPLYX	4 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (POLIAMMIDE/ALLUMINIO/PVC/ALLUMINIO) - 90 CAPSULE	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	EISAI GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045060050	045060	KISPLYX	10 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (POLIAMMIDE/ALLUMINIO/PVC/ALLUMINIO) - 60 CAPSULE	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	EISAI GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
045060062	045060	KISPLYX	10 MG - CAPSULA RIGIDA - USO ORALE - BLISTER (POLIAMMIDE/ALLUMINIO/PVC/ALLUMINIO) - 90 CAPSULE	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	EISAI GMBH	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
051734010	051734	LENVATINIB TEVA	4 MG CAPSULE RIGIDE- 30 CAPSULE IN BLISTER OPA/AL/PVC/AL	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
051734022	051734	LENVATINIB TEVA	4 MG CAPSULE RIGIDE- 60 CAPSULE IN BLISTER OPA/AL/PVC/AL	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
051734034	051734	LENVATINIB TEVA	4 MG CAPSULE RIGIDE- 90 CAPSULE IN BLISTER OPA/AL/PVC/AL	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
051734046	051734	LENVATINIB TEVA	4 MG CAPSULE RIGIDE- 30X1 CAPSULE IN BLISTER DIVISIBILE PER DOSE UNITARIA OPA/AL/PVC/AL	LENVATINIB MESILATO	LENVATINIB MESILATO			Capsula rigida	L01EX08	TEVA ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, da rinnovare volta per volta, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
