codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
049817012	049817	LERCANIDIPINA ACCORD	10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817024	049817	LERCANIDIPINA ACCORD	10 mg COMPRESSE RIVESTITE CON FILM- 14 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817036	049817	LERCANIDIPINA ACCORD	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817048	049817	LERCANIDIPINA ACCORD	10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817051	049817	LERCANIDIPINA ACCORD	10 MG COMPRESSE RIVESTITE CON FILM- 50 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817063	049817	LERCANIDIPINA ACCORD	10 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817075	049817	LERCANIDIPINA ACCORD	10 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817087	049817	LERCANIDIPINA ACCORD	20 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817099	049817	LERCANIDIPINA ACCORD	20 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817101	049817	LERCANIDIPINA ACCORD	20 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817113	049817	LERCANIDIPINA ACCORD	20 MG COMPRESSE RIVESTITE CON FILM- 50 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817125	049817	LERCANIDIPINA ACCORD	20 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
049817137	049817	LERCANIDIPINA ACCORD	20 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER PVC/PVDC-AL	LERCANIDIPINA	LERCANIDIPINA			Compressa rivestita con film	C08CA	ACCORD HEALTHCARE, S.L.U.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051638017	051638	LERCANIDIPINA CLORIDRATO PENSA	?10 MG COMPRESSE RIVESTITE CON FILM? 14 COMPRESSE IN BLISTER PVC/PVDC/AL	LERCANIDIPINA	LERCANIDIPINA	10	milligrammi	Compressa rivestita con film	C08CA13	TOWA PHARMACEUTICAL S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051638029	051638	LERCANIDIPINA CLORIDRATO PENSA	?10 MG COMPRESSE RIVESTITE CON FILM? 28 COMPRESSE IN BLISTER PVC/PVDC/AL	LERCANIDIPINA	LERCANIDIPINA	10	milligrammi	Compressa rivestita con film	C08CA13	TOWA PHARMACEUTICAL S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051638031	051638	LERCANIDIPINA CLORIDRATO PENSA	?10 MG COMPRESSE RIVESTITE CON FILM? 56 COMPRESSE IN BLISTER PVC/PVDC/AL	LERCANIDIPINA	LERCANIDIPINA	10	milligrammi	Compressa rivestita con film	C08CA13	TOWA PHARMACEUTICAL S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051638043	051638	LERCANIDIPINA CLORIDRATO PENSA	?20 MG COMPRESSE RIVESTITE CON FILM? 28 COMPRESSE IN BLISTER PVC/PVDC/AL	LERCANIDIPINA	LERCANIDIPINA	20	milligrammi	Compressa rivestita con film	C08CA13	TOWA PHARMACEUTICAL S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
