codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
026009011	026009	LEVOPRAID	25 MG COMPRESSE- 20 COMPRESSE	LEVOSULPIRIDE	LEVOSULPIRIDE	25	milligrammi	Compressa	N05AL07	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026009023	026009	LEVOPRAID	25MG/2ML SOLUZIONE INIETTABILE - 6 FIALE DA 2 ML	LEVOSULPIRIDE	LEVOSULPIRIDE	25	milligrammi	Soluzione iniettabile	N05AL07	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026009035	026009	LEVOPRAID	25MG/ML GOCCE ORALI SOLUZIONE- FLACONE  CONTAGOCCE DA 20 ML	LEVOSULPIRIDE	LEVOSULPIRIDE	2.5		Gocce orali, soluzione	N05AL07	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026009047	026009	LEVOPRAID	100 MG COMPRESSE- BLISTER 20 COMPRESSE	LEVOSULPIRIDE	LEVOSULPIRIDE	100	milligrammi	Compressa	N05AL07	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026009050	026009	LEVOPRAID	50 MG COMPRESSE- BLISTER 20 COMPRESSE	LEVOSULPIRIDE	LEVOSULPIRIDE	50	milligrammi	Compressa	N05AL07	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
026009062	026009	LEVOPRAID	50MG/2ML SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE ED ENDOVENOSO- 6 FIALE	LEVOSULPIRIDE	LEVOSULPIRIDE	50	milligrammi	Soluzione iniettabile	N05AL07	TEOFARMA S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027210018	027210	LEVOBREN	25 MG COMPRESSE- 20 COMPRESSE	LEVOSULPIRIDE	LEVOSULPIRIDE	25	milligrammi	Compressa	N05AL07	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027210020	027210	LEVOBREN	50 MG COMPRESSE- 20 COMPRESSE	LEVOSULPIRIDE	LEVOSULPIRIDE	50	milligrammi	Compressa	N05AL07	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027210032	027210	LEVOBREN	100 MG COMPRESSE- 20 COMPRESSE	LEVOSULPIRIDE	LEVOSULPIRIDE	100	milligrammi	Compressa	N05AL07	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027210044	027210	LEVOBREN	12,5 MG/ML SOLUZIONE INIETTABILE- 6 FIALE DA 2 ML	LEVOSULPIRIDE	LEVOSULPIRIDE	12.5	milligram(s)/millilitre	Soluzione iniettabile	N05AL07	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
