codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
004535011	004535	XYLOCAINA	20 MG/ML SOLUZIONE INIETTABILE- 1 FLACONE DA 50 ML	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	20	milligram(s)/millilitre	Soluzione iniettabile	N01BB02	ASPEN PHARMA TRADING LIMITED	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
004535213	004535	XYLOCAINA	20 MG/ML SOLUZIONE INIETTABILE- 5 FIALE IN VETRO  DA 5 ML	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	20	milligram(s)/millilitre	Soluzione iniettabile	N01BB02	ASPEN PHARMA TRADING LIMITED	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
005556016	005556	ORTODERMINA	CREMA AL 5%- TUBO DA 50 G	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	500	grammi	Crema	D04AB01	ALFASIGMA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica ma non da banco
005556028	005556	ORTODERMINA	5% CREMA- TUBO DA 10 G	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	500	grammi	Crema	D04AB01	ALFASIGMA S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica ma non da banco
005638010	005638	LUAN	2,5 % GEL- TUBO DA 15 G	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	2.5	percent	Gel	N01BB02	L. MOLTENI & C. DEI F.LLI ALITTI SOCIETA' DI ESERCIZIO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica ma non da banco
005638022	005638	LUAN	1% GEL- TUBO 100 G	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	1	percent	Gel	N01BB02	L. MOLTENI & C. DEI F.LLI ALITTI SOCIETA' DI ESERCIZIO S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica ma non da banco
029432010	029432	LIDOSEN	10 FIALE SOLUZ INIETT 1 ML	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	20	milligram(s)/millilitre	Soluzione iniettabile	N01BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
029432022	029432	LIDOSEN	10 FIALE SOLUZ INIETT 2 ML	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	20	milligrammi	SOLUZIONE	N01BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
029432034	029432	LIDOSEN	10 FIALE SOLUZ INIETT 5 ML	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	20	milligrammi	SOLUZIONE	N01BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
029432046	029432	LIDOSEN	10 FIALE SOLUZ INIETT 10 ML	LIDOCAINA CLORIDRATO	LIDOCAINA CLORIDRATO	20	milligrammi	SOLUZIONE	N01BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica da rinnovare volta per volta
