codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
023382017	023382	MINIAS	1 MG COMPRESSE RIVESTITE- 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	1	milligrammi	Compressa rivestita	N05CD06	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023382029	023382	MINIAS	2,5 MG/ML GOCCE ORALI, SOLUZIONE- FLACONE 20 ML	LORMETAZEPAM	LORMETAZEPAM	0.3		Gocce orali, soluzione	N05CD06	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
023382031	023382	MINIAS	2 MG COMPRESSE RIVESTITE- 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	2	milligrammi	Compressa rivestita	N05CD06	NEOPHARMED GENTILI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035907017	035907	LORMETAZEPAM SANDOZ	1 MG COMPRESSE - 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	10	milligrammi	Compressa	N05CD06	SANDOZ S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035907029	035907	LORMETAZEPAM SANDOZ	2 MG COMPRESSE - 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	20	milligrammi	Compressa	N05CD06	SANDOZ S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035907031	035907	LORMETAZEPAM SANDOZ	0,25 % GOCCE ORALI, SOLUZIONE-  FLACONE 20 ML	LORMETAZEPAM	LORMETAZEPAM	500	milligrammi	Gocce orali, soluzione	N05CD06	SANDOZ S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035908019	035908	LORMETAZEPAM DOC	1 MG COMPRESSE - 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	10	milligrammi	Compressa	N05CD06	DOC GENERICI SRL	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035908021	035908	LORMETAZEPAM DOC	2 MG COMPRESSE - 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	20	milligrammi	Compressa	N05CD06	DOC GENERICI SRL	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035908033	035908	LORMETAZEPAM DOC	2.5 MG/ML GOCCE ORALI, SOLUZIONE - 1 FLACONE 20 ML	LORMETAZEPAM	LORMETAZEPAM	500	milligrammi	Gocce orali, soluzione	N05CD06	DOC GENERICI SRL	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035910013	035910	LUZUL	1 MG COMPRESSE - 30 COMPRESSE	LORMETAZEPAM	LORMETAZEPAM	10	milligrammi	Compressa	N05CD06	LABORATORI BALDACCI S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
