codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
031985068	031985	MOBIC	15- 30 COMPRESSE DIVISIBILI 15 MG	MELOXICAM	MELOXICAM	15	milligrammi	Compressa	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
031985106	031985	MOBIC	7,5- 10 COMPRESSE 7,5 MG	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
031985157	031985	MOBIC	7,5- 30 COMPRESSE 7,5 MG	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
031985169	031985	MOBIC	15- 14 COMPRESSE DIVISIBILI 15 MG	MELOXICAM	MELOXICAM	15	milligrammi	Compressa	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
031985979	031985	MOBIC	1 FIALA DI SOLUZIONE INIETTABILE DA 15 MG/1,5 ML	MELOXICAM	MELOXICAM	15	milligrammi	Soluzione iniettabile	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
031985981	031985	MOBIC	2 FIALE DI SOLUZIONE INIETTABILE DA 15 MG/1,5 ML	MELOXICAM	MELOXICAM	15	milligrammi	Soluzione iniettabile	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
031985993	031985	MOBIC	3 FIALE DI SOLUZIONE INIETTABILE DA 15 MG/1,5 ML	MELOXICAM	MELOXICAM	15	milligrammi	Soluzione iniettabile	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035464015	035464	MOBIC	5 FIALE DI SOLUZIONE INIETTABILE DA 15 MG/1,5 ML	MELOXICAM	MELOXICAM	15	milligrammi	Soluzione iniettabile	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035464027	035464	MOBIC	30 FIALE DI SOLUZIONE INIETTABILE DA 15 MG/1,5 ML	MELOXICAM	MELOXICAM	15	milligrammi	Soluzione iniettabile	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035464039	035464	MOBIC	50 FIALE DI SOLUZIONE INIETTABILE DA 15 MG/1,5 ML	MELOXICAM	MELOXICAM	15	milligrammi	Soluzione iniettabile	M01AC06	BOEHRINGER INGELHEIM INTERNATIONAL GMBH	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069010	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 7 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069022	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 10 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069034	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 14 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069046	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 15 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069059	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 20 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069061	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 28 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069073	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 30 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
037069085	037069	MELOXICAM MYLAN GENERICS	7.5 MG COMPRESSE- 50 COMPRESSE IN BLISTER PVC/PVDC/AL	MELOXICAM	MELOXICAM	7.5	milligrammi	Compressa	M01AC06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
