codice_aic	cod_farmaco	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
028848012	028848	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
028848024	028848	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
028848036	028848	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037112012	037112	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037112024	037112	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037112036	037112	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037112051	037112	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037807017	037807	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037807029	037807	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037807031	037807	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037807043	037807	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037807056	037807	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
037807068	037807	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
038720013	038720	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
038720025	038720	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
038720037	038720	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
038720049	038720	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039399011	039399	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039399023	039399	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405016	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405028	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405030	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405042	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405055	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405067	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405079	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405081	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405093	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
039405105	039405	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
040573014	040573	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
040573026	040573	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
040573038	040573	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
040573040	040573	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
040573053	040573	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
047855010	047855	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
051048015	051048	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
051191017	051191	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
051385019	051385	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
051403018	051403	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
052474018	052474	1378389	paclitaxel 100 MG Injection [Abraxane]	583218	EXACT	auto-linked from EMA 000778		2026-06-12
