codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
042896011	042896	TACHIFENE	500MG/150MG COMPRESSE RIVESTITE CON FILM- 8 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica ma non da banco
042896023	042896	TACHIFENE	500MG/150MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica ma non da banco
042896035	042896	TACHIFENE	500MG/150MG COMPRESSE RIVESTITE CON FILM- 16 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali non soggetti a prescrizione medica ma non da banco
042896047	042896	TACHIFENE	500MG/150MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042896050	042896	TACHIFENE	500MG/150MG COMPRESSE RIVESTITE CON FILM- 24 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042896062	042896	TACHIFENE	500MG/150MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042896074	042896	TACHIFENE	500 MG/150MG COMPRESSE RIVESTITE CON FILM- 32 COMPRESSE IN BLISTER PVC/AL	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Compressa rivestita con film	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042896086	042896	TACHIFENE	500 MG/150 MG POLVERE PER SOLUZIONE ORALE IN BUSTINA- 8 BUSTINE IN CARTA/ALU/PE	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Polvere per soluzione orale in bustina	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
042896098	042896	TACHIFENE	500 MG/150 MG POLVERE PER SOLUZIONE ORALE IN BUSTINA- 10 BUSTINE IN CARTA/ALU/PE	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Polvere per soluzione orale in bustina	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
042896100	042896	TACHIFENE	500 MG/150 MG POLVERE PER SOLUZIONE ORALE IN BUSTINA- 16 BUSTINE IN CARTA/ALU/PE	PARACETAMOLO/IBUPROFENE	IBUPROFENE|PARACETAMOLO	|	|	Polvere per soluzione orale in bustina	N02BE51	AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
