codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
027963038	027963	SEROXAT	20 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027963040	027963	SEROXAT	20 MG COMPRESSE RIVESTITE CON FILM- 50 COMPRESSE	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027964030	027964	EUTIMIL	20 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027964042	027964	EUTIMIL	20 MG COMPRESSE RIVESTITE CON FILM- 50 COMPRESSE	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
027965033	027965	SEREUPIN	20 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	GLAXOSMITHKLINE S.P.A.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
035449014	035449	PAROXETINA MYLAN GENERICS	10 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449026	035449	PAROXETINA MYLAN GENERICS	12 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449038	035449	PAROXETINA MYLAN GENERICS	14 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449040	035449	PAROXETINA MYLAN GENERICS	20 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449053	035449	PAROXETINA MYLAN GENERICS	28 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449065	035449	PAROXETINA MYLAN GENERICS	30 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449077	035449	PAROXETINA MYLAN GENERICS	50 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449089	035449	PAROXETINA MYLAN GENERICS	58 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449091	035449	PAROXETINA MYLAN GENERICS	60 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035449103	035449	PAROXETINA MYLAN GENERICS	98 COMPRESSE RIVESTITE CON FILM IN FLACONE HDPE DA 20 MG	PAROXETINA	PAROXETINA			Compressa rivestita con film	N06AB05	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
