codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
042407066	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407078	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 2 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407080	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 3 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407092	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407104	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 5 X 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
042407116	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407128	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 2 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407130	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 3 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407142	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM-100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407155	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 5 X 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
042407167	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407179	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 2 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407181	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 3 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407193	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407205	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 5 X 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
042407217	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407229	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 2 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407231	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 3 X 30 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407243	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407256	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 5 X 100 COMPRESSE IN CONTENITORE HDPE	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica limitativa, utilizzabili esclusivamente in ambiente ospedaliero o in una struttura ad esso assimilabile
042407270	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407282	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407294	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407306	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407318	042407	TRIPLIAM	5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	|1.25|	|milligrammi|	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407332	042407	TRIPLIAM	5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	|1.25|	|milligrammi|	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407369	042407	TRIPLIAM	10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 3 X 28 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	|2.5|	|milligrammi|	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407383	042407	TRIPLIAM	10 MG/2,5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 3 X 28 COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	|2.5|	|milligrammi|	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407395	042407	TRIPLIAM	?5 MG/1,25 MG/5 MG COMPRESSE RIVESTITE CON FILM? 4X30 (120) COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407407	042407	TRIPLIAM	?5 MG/1,25 MG/10 MG COMPRESSE RIVESTITE CON FILM? 4X30 (120) COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407419	042407	TRIPLIAM	?10 MG/2,5 MG/5 MG COMPRESSE RIVESTITE CON FILM? 4X30 (120) COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
042407421	042407	TRIPLIAM	?10 MG/2,5 MG/10 COMPRESSE RIVESTITE CON FILM? 4X30 (120) COMPRESSE IN CONTENITORE PP	PERINDOPRIL ARGININA/AMLODIPINA/INDAPAMIDE	AMLODIPINA|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	LES LABORATOIRES SERVIER	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
