codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
051277010	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/5 MG  COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277022	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/5 MG  COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277034	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/5 MG  COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277046	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277061	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/10 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277073	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277085	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277097	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/5 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277109	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277111	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277123	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/10 MG COMPRESSE RIVESTITE CON FILM- 90 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277135	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/5 MG  COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277147	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	5 MG/1.25 MG/10 MG  COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
051277150	051277	PERINDOPRIL/INDAPAMIDE/AMLODIPINA TEVA ITALIA	10 MG/2.5 MG/5 MG  COMPRESSE RIVESTITE CON FILM- 100 COMPRESSE IN BLISTER AL/AL	PERINDOPRIL ARGININA/INDAPAMIDE/AMLODIPINA BESILATO	AMLODIPINA BESILATO|INDAPAMIDE|PERINDOPRIL ARGININA	||	||	Compressa rivestita con film	C09BX01	TEVA B.V.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
