codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
049478011	049478	SIBNAYAL	8 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 282 MG / 527 MG - 60 BUSTINE	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	527|282	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478023	049478	SIBNAYAL	8 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 282 MG / 527 MG - 120 (2 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	527|282	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478035	049478	SIBNAYAL	8 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 282 MG / 527 MG - 180 (3 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	527|282	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478047	049478	SIBNAYAL	8 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 282 MG / 527 MG - 240 (4 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	527|282	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478050	049478	SIBNAYAL	8 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 282 MG / 527 MG - 300 (5 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	527|282	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478062	049478	SIBNAYAL	8 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 282 MG / 527 MG - 360 (6 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	527|282	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478074	049478	SIBNAYAL	24 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 847 MG / 1582 MG - 60 BUSTINE	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	1582|847	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478086	049478	SIBNAYAL	24 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 847 MG / 1582 MG - 120 (2 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	1582|847	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478098	049478	SIBNAYAL	24 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 847 MG / 1582 MG - 180 (3 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	1582|847	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478100	049478	SIBNAYAL	24 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 847 MG / 1582 MG - 240 (4 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	1582|847	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478112	049478	SIBNAYAL	24 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 847 MG / 1582 MG - 300 (5 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	1582|847	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
049478124	049478	SIBNAYAL	24 MEQ - GRANULATO A RILASCIO PROLUNGATO - USO ORALE - BUSTINA (PETP/ALU/LDPE) 847 MG / 1582 MG - 360 (6 X 60) BUSTINE (CONFEZIONE MULTIPLA)	POTASSIO CITRATO/IDROGENOCARBONATO DI POTASSIO	IDROGENOCARBONATO DI POTASSIO|POTASSIO CITRATO	1582|847	milligrammi|milligrammi	Granulato a rilascio prolungato	A12BA30	ADVICENNE	Autorizzata	Procedura Centralizzata	Medicinali soggetti a prescrizione medica limitativa, vendibili al pubblico su prescrizione di centri ospedalieri o di specialisti
