codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
038910042	038910	QUINAPRIL E IDROCLOROTIAZIDE MYLAN GENERICS	20 MG/12.5 MG COMPRESSE RIVESTITE CON FILM- 14 COMPRESSE IN BLISTER AL/PA/PVC	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038910055	038910	QUINAPRIL E IDROCLOROTIAZIDE MYLAN GENERICS	20 MG/12.5 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER AL/PA/PVC	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
038910067	038910	QUINAPRIL E IDROCLOROTIAZIDE MYLAN GENERICS	20 MG/12.5 MG COMPRESSE RIVESTITE CON FILM- 56 COMPRESSE IN BLISTER AL/PA/PVC	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	MYLAN S.P.A.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177014	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 7 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177026	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 10 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177038	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 14 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177040	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177053	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177065	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
040177077	040177	QUINAPRIL IDROCLOROTIAZIDE AUROBINDO	10/12.5 MG COMPRESSE RIVESTITE CON FILM- 42 COMPRESSE IN BLISTER PA/AL/PV/AL	QUINAPRIL CLORIDRATO/IDROCLOROTIAZIDE	IDROCLOROTIAZIDE|QUINAPRIL CLORIDRATO	|	|	Compressa rivestita con film	C09BA06	AUROBINDO PHARMA (ITALIA) S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
