codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
034568016	034568	ACTONEL	5 MG COMPRESSE RIVESTITE CON FILM-  14 COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568028	034568	ACTONEL	5 MG COMPRESSE RIVESTITE CON FILM-  20 (2X10) COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568030	034568	ACTONEL	5 MG COMPRESSE RIVESTITE CON FILM-  28 (2X14) COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568042	034568	ACTONEL	5 MG COMPRESSE RIVESTITE CON FILM-  84 (6X14) COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568055	034568	ACTONEL	5 MG COMPRESSE RIVESTITE CON FILM-  140 (10X14) COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568067	034568	ACTONEL	30 MG COMPRESSE RIVESTITE  CON FILM- 14 COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568079	034568	ACTONEL	30 MG COMPRESSE RIVESTITE CON FILM- 28 (2X14) COMPRESSE IN BLISTER	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568081	034568	ACTONEL	35 MG COMPRESSE RIVESTITE CON FILM- 1 COMPRESSA IN BLISTER PVC/AL	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568093	034568	ACTONEL	35 MG COMPRESSE RIVESTITE CON FILM-  2 COMPRESSE IN BLISTER PVC/AL	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
034568105	034568	ACTONEL	35 MG COMPRESSE RIVESTITE CON FILM-  4 COMPRESSE IN BLISTER PVC/AL	RISEDRONATO SODICO	RISEDRONATO SODICO			Compressa rivestita con film	M05BA07	THERAMEX IRELAND LIMITED	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
