codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
035885019	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 7 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885021	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 14 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885033	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 15 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885045	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 20 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885058	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 28 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885060	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 30 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885072	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 42 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885084	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 50 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885096	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 56 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
035885108	035885	CRESTOR	10 MG COMPRESSE RIVESTITE CON FILM- 60 COMPRESSE IN BLISTER AL/AL	ROSUVASTATINA	ROSUVASTATINA	10	milligrammi	Compressa rivestita con film	C10AA07	GRUNENTHAL ITALIA S.R.L.	Autorizzata	Procedura Mutuo riconoscimento o Decentrata	Medicinali soggetti a prescrizione medica
