codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
029845017	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 50 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845029	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 100 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845031	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 250 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845043	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 500 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845056	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 SACCA 50 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845068	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 SACCA 100 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845070	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 SACCA 250 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845082	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 SACCA 500 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845094	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 FLACONCINO 1000 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
029845106	029845	ELETTROLITICA EQUILIBRATA PEDIATRICA GALENICA SENESE	SOLUZIONE PER INFUSIONE- 1 SACCA 1000 ML	SODIO ACETATO TRIIDRATO/POTASSIO CLORURO/MAGNESIO CLORURO ESAIDRATO/POTASSIO FOSFATO BIBASICO/GLUCOSIO (DESTROSIO) ANIDRO	GLUCOSIO (DESTROSIO) ANIDRO|MAGNESIO CLORURO ESAIDRATO|POTASSIO CLORURO|POTASSIO FOSFATO BIBASICO|SODIO ACETATO TRIIDRATO	||||	||||	Soluzione per infusione	B05BB02	INDUSTRIA FARMACEUTICA GALENICA SENESE S.R.L.	Autorizzata	Procedura Nazionale	Medicinali soggetti a prescrizione medica
