codice_aic	cod_farmaco	denominazione	descrizione	pa_associati	principio_attivo	quantita	unita_misura	forma	codice_atc	ragione_sociale	stato_amministrativo	tipo_procedura	fornitura
024352039	024352	GAVISCON	500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE- FLACONE 200 ML	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	Sospensione orale	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352054	024352	GAVISCON	500 MG + 267 MG COMPRESSE MASTICABILI GUSTO MENTA - 24 COMPRESSE IN BLISTER	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	Compressa masticabile	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352066	024352	GAVISCON	500 MG + 267 MG COMPRESSE MASTICABILI GUSTO MENTA - 36 COMPRESSE IN BLISTER	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	Compressa masticabile	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352078	024352	GAVISCON	500 MG + 267 MG COMPRESSE MASTICABILI GUSTO MENTA - 48 COMPRESSE IN BLISTER	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	Compressa masticabile	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352080	024352	GAVISCON	500 MG + 267 MG COMPRESSE MASTICABILI GUSTO MENTA - 40 COMPRESSE IN CONTENITORE	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	Compressa masticabile	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352092	024352	GAVISCON	500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE AROMA MENTA- FLACONE DA 200 ML	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	SOSPENSIONE	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352104	024352	GAVISCON	500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE AROMA MENTA- FLACONE DA 300 ML	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	SOSPENSIONE	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352116	024352	GAVISCON	500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE AROMA MENTA- FLACONE DA 500 ML	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	SOSPENSIONE	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352128	024352	GAVISCON	500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE AROMA MENTA- 12 BUSTINE MONODOSE DA 10 ML	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	SOSPENSIONE	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
024352130	024352	GAVISCON	500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE AROMA MENTA- 20 BUSTINE MONODOSE DA 10 ML	SODIO BICARBONATO/SODIO ALGINATO	SODIO ALGINATO|SODIO BICARBONATO	500|267	milligrammi|milligrammi	SOSPENSIONE	A02BX13	RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.	Autorizzata	Procedura Nazionale	Medicinali non soggetti a prescrizione medica, da banco.
